#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 03 08 00 351  3.7  4.2 99.00 99.00 99.00 999 1014.4  23.7  27.0 999.0 99.0 99.00
2016 01 03 09 00 350  3.6  4.0 99.00 99.00 99.00 999 1014.5  23.3  26.9 999.0 99.0 99.00
2016 01 03 10 00 999 99.0  4.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 11 00  43  1.8 99.0 99.00 99.00 99.00 999 1014.3  24.0 999.0 999.0 99.0 99.00
2016 01 03 14 00   2  6.1  6.5 99.00 99.00 99.00 999 1015.5  23.2  26.9 999.0 99.0 99.00
2016 01 03 15 00  15  5.6  6.4 99.00 99.00 99.00 999 1016.0  22.3  26.9 999.0 99.0 99.00
2016 01 03 16 00  29  4.8  5.1 99.00 99.00 99.00 999 1015.4  23.4  26.9 999.0 99.0 99.00
2016 01 03 17 00  50  4.8  5.3 99.00 99.00 99.00 999 1014.6  23.9  27.1 999.0 99.0 99.00
2016 01 03 18 00  26  4.4  4.7 99.00 99.00 99.00 999 1013.1  24.2  27.1 999.0 99.0 99.00
2016 01 03 19 00  40  4.1  4.5 99.00 99.00 99.00 999 1012.3  24.1  27.1 999.0 99.0 99.00
2016 01 03 21 00 359  3.3  3.7 99.00 99.00 99.00 999 1011.8  23.4  26.9 999.0 99.0 99.00
2016 01 03 23 00  10  1.2 99.0 99.00 99.00 99.00 999 9999.0  24.2 999.0 999.0 99.0 99.00
2016 01 04 00 00   0  0.0 99.0 99.00 99.00 99.00 999 1012.3  24.4 999.0 999.0 99.0 99.00
2016 01 04 01 00 288  0.5  1.2 99.00 99.00 99.00 999 1012.4  24.7  26.7 999.0 99.0 99.00
2016 01 04 04 00   1  8.0  9.0 99.00 99.00 99.00 999 1012.9  20.8  26.6 999.0 99.0 99.00
2016 01 04 05 00  13 10.4 11.7 99.00 99.00 99.00 999 1012.4  20.2  26.6 999.0 99.0 99.00
2016 01 04 06 00  23  8.7  9.6 99.00 99.00 99.00 999 1012.3  20.5  26.6 999.0 99.0 99.00
2016 01 04 07 00 359  5.8  6.4 99.00 99.00 99.00 999 1011.3  20.4  26.5 999.0 99.0 99.00
2016 01 04 08 00 339  3.5  4.1 99.00 99.00 99.00 999 1011.6  21.1  26.3 999.0 99.0 99.00
2016 01 04 09 00 344  3.4  4.5 99.00 99.00 99.00 999 1011.7  20.2  26.2 999.0 99.0 99.00
2016 01 04 10 00 325  4.7  5.6 99.00 99.00 99.00 999 1012.0  19.7  26.4 999.0 99.0 99.00
2016 01 04 11 00 315  7.6  8.1 99.00 99.00 99.00 999 1012.8  19.2  26.5 999.0 99.0 99.00
2016 01 04 12 00 344  7.8  8.3 99.00 99.00 99.00 999 1013.5  18.7  26.5 999.0 99.0 99.00
2016 01 04 13 00 357  5.2  6.0 99.00 99.00 99.00 999 1014.0  18.4  26.5 999.0 99.0 99.00
2016 01 04 14 00 354  5.9  6.8 99.00 99.00 99.00 999 1014.7  18.8  26.5 999.0 99.0 99.00
2016 01 04 15 00 352  6.5  7.5 99.00 99.00 99.00 999 1015.1  18.4  26.4 999.0 99.0 99.00
2016 01 04 16 00 349  7.7  9.2 99.00 99.00 99.00 999 1015.3  18.1  26.4 999.0 99.0 99.00
2016 01 04 17 00 344  6.6  7.2 99.00 99.00 99.00 999 1015.1  18.4  26.3 999.0 99.0 99.00
2016 01 04 18 00 348  7.1  8.0 99.00 99.00 99.00 999 1014.3  19.2  26.3 999.0 99.0 99.00
2016 01 04 19 00   1  6.9  7.9 99.00 99.00 99.00 999 1014.0  19.2  26.3 999.0 99.0 99.00
2016 01 04 20 00   6  5.4  6.4 99.00 99.00 99.00 999 1013.9  19.3  26.2 999.0 99.0 99.00
2016 01 04 21 00   4  5.5  6.6 99.00 99.00 99.00 999 1014.2  20.0  26.3 999.0 99.0 99.00
2016 01 04 22 00   3  6.2  7.1 99.00 99.00 99.00 999 1014.2  20.1  26.2 999.0 99.0 99.00
2016 01 04 23 00   2  6.9  8.1 99.00 99.00 99.00 999 1015.0  20.3  26.1 999.0 99.0 99.00
2016 01 05 00 00 357  7.5  8.2 99.00 99.00 99.00 999 1015.5  20.3  26.1 999.0 99.0 99.00
2016 01 05 01 00   5  9.2 10.2 99.00 99.00 99.00 999 1015.9  20.3  26.0 999.0 99.0 99.00
2016 01 05 02 00   4  8.6  9.8 99.00 99.00 99.00 999 1016.3  19.6  25.7 999.0 99.0 99.00
2016 01 05 03 00   0  8.8  9.7 99.00 99.00 99.00 999 1016.8  19.3  25.5 999.0 99.0 99.00
2016 01 05 04 00 359  8.6  9.6 99.00 99.00 99.00 999 1017.1  19.4  25.4 999.0 99.0 99.00
2016 01 05 05 00   9 10.0 11.3 99.00 99.00 99.00 999 1016.8  19.1  25.6 999.0 99.0 99.00
2016 01 05 06 00   3 11.1 12.3 99.00 99.00 99.00 999 1016.7  18.7  25.7 999.0 99.0 99.00
2016 01 05 07 00  16  9.2 10.8 99.00 99.00 99.00 999 1016.2  18.8  25.7 999.0 99.0 99.00
2016 01 05 08 00   8  9.7 10.5 99.00 99.00 99.00 999 1015.6  18.5  25.0 999.0 99.0 99.00
2016 01 05 09 00 356 10.0 11.5 99.00 99.00 99.00 999 1016.2  18.6  25.0 999.0 99.0 99.00
2016 01 05 10 00 353 11.8 12.5 99.00 99.00 99.00 999 1016.2  17.8  25.2 999.0 99.0 99.00
2016 01 05 11 00 359  9.1 10.0 99.00 99.00 99.00 999 1017.2  18.0  25.5 999.0 99.0 99.00
2016 01 05 12 00   6  8.6  9.4 99.00 99.00 99.00 999 1018.1  18.3  25.6 999.0 99.0 99.00
2016 01 05 13 00   5  6.1  6.7 99.00 99.00 99.00 999 1019.0  18.4  25.7 999.0 99.0 99.00
2016 01 05 14 00 356  7.1  7.8 99.00 99.00 99.00 999 1019.4  17.7  25.7 999.0 99.0 99.00
2016 01 05 15 00 356  4.4  5.2 99.00 99.00 99.00 999 1019.6  18.8  25.7 999.0 99.0 99.00
2016 01 05 16 00  75 10.5 11.5 99.00 99.00 99.00 999 1019.2  23.0  26.0 999.0 99.0 99.00
2016 01 05 17 00  69 11.5 12.7 99.00 99.00 99.00 999 1018.9  22.8  26.1 999.0 99.0 99.00
2016 01 05 18 00  61 13.8 15.7 99.00 99.00 99.00 999 1018.0  21.3  26.2 999.0 99.0 99.00
2016 01 05 19 00  66 11.3 13.0 99.00 99.00 99.00 999 1017.5  21.4  26.2 999.0 99.0 99.00
2016 01 05 20 00  56 15.8 17.5 99.00 99.00 99.00 999 1016.3  22.2  26.3 999.0 99.0 99.00
2016 01 05 21 00  49 15.0 17.7 99.00 99.00 99.00 999 1016.5  22.3  26.2 999.0 99.0 99.00
2016 01 05 22 00  48 16.2 18.1 99.00 99.00 99.00 999 1017.2  22.1  26.2 999.0 99.0 99.00
2016 01 05 23 00  51 16.2 19.0 99.00 99.00 99.00 999 1017.3  22.1  26.1 999.0 99.0 99.00
2016 01 06 00 00  52 15.2 17.5 99.00 99.00 99.00 999 1017.6  22.2  26.1 999.0 99.0 99.00
2016 01 06 01 00  52 15.6 17.5 99.00 99.00 99.00 999 1017.7  22.5  25.7 999.0 99.0 99.00
