airt,High,nite,09032017,MLRF1
airt,High,dayb,09032017,MLRF1
airt,High,midd,09032017,MLRF1
airt,sHigh,aftn,09032017,MLRF1
airtV,Low,all,09032017,MLRF1
barom,sHigh,all,09032017,MLRF1
bleaST,High,nite,09032017,MLRF1
bleaST,High,dayb,09032017,MLRF1
bleaST,High,midd,09032017,MLRF1
bleaST,High,psun,09032017,MLRF1
bleaST,average,suns,09032017,MLRF1
ekmD7day,downshore,all,09032017,MLRF1
sst,average,all,09032017,MLRF1
paccum,uLow,all,09032017,MLRF1
satCA,Low,all,09032017,MLRF1
seandbc,sHigh,all,09032017,MLRF1
seandbcD,sHigh,all,09032017,MLRF1
seandbcM,sHigh,all,09032017,MLRF1
seandbcV,average,all,09032017,MLRF1
spawt,uHigh,all,09032017,MLRF1
surfb,average,all,09032017,MLRF1
surfc,average,all,09032017,MLRF1
winddr,sse-ssw,nite,09032017,MLRF1
winddr,sse-ssw,dayb,09032017,MLRF1
winddr,ese-sse,midd,09032017,MLRF1
winddr,ese-sse,psun,09032017,MLRF1
winddr,ene-ese,suns,09032017,MLRF1
windgu,sLow,all,09032017,MLRF1
windsd7,vLow,all,09032017,MLRF1
windsp,Low,even,09032017,MLRF1
windsp,Low,midn,09032017,MLRF1
windsp,sLow,pdaw,09032017,MLRF1
windsp,sLow,dayb,09032017,MLRF1
windsp,Low,midd,09032017,MLRF1
windsp,Low,aftn,09032017,MLRF1
windsp3day,Low,nite,09032017,MLRF1
windsp3day,Low,dayb,09032017,MLRF1
windsp3day,sLow,midd,09032017,MLRF1
windsp3day,sLow,aftn,09032017,MLRF1
