airt,sHigh,nite,09172017,MLRF1
airt,sHigh,dayb,09172017,MLRF1
airt,sHigh,midd,09172017,MLRF1
airt,sHigh,psun,09172017,MLRF1
airt,High,suns,09172017,MLRF1
airtV,sLow,all,09172017,MLRF1
barom,average,all,09172017,MLRF1
bleaST,average,all,09172017,MLRF1
ekmD7day,onshore,all,09172017,MLRF1
sst,average,all,09172017,MLRF1
paccum,uLow,all,09172017,MLRF1
satCA,Low,all,09172017,MLRF1
seandbc,sHigh,all,09172017,MLRF1
seandbcD,sHigh,all,09172017,MLRF1
seandbcM,sHigh,all,09172017,MLRF1
seandbcV,average,all,09172017,MLRF1
spawt,uHigh,all,09172017,MLRF1
surfb,average,all,09172017,MLRF1
surfc,average,all,09172017,MLRF1
winddr,ne-ene,even,09172017,MLRF1
winddr,n-ne,midn,09172017,MLRF1
winddr,ne-ene,pdaw,09172017,MLRF1
winddr,ne-ene,dayl,09172017,MLRF1
windgu,average,nite,09172017,MLRF1
windgu,sLow,dawn,09172017,MLRF1
windgu,average,morn,09172017,MLRF1
windgu,average,midd,09172017,MLRF1
windgu,average,aftn,09172017,MLRF1
windsd7,High,nite,09172017,MLRF1
windsd7,High,dawn,09172017,MLRF1
windsd7,sHigh,morn,09172017,MLRF1
windsd7,sHigh,midd,09172017,MLRF1
windsd7,sHigh,aftn,09172017,MLRF1
windsp,average,nite,09172017,MLRF1
windsp,Low,dawn,09172017,MLRF1
windsp,sLow,morn,09172017,MLRF1
windsp,sLow,midd,09172017,MLRF1
windsp,average,aftn,09172017,MLRF1
windsp3day,Low,nite,09172017,MLRF1
windsp3day,Low,dayb,09172017,MLRF1
windsp3day,Low,midd,09172017,MLRF1
windsp3day,Low,psun,09172017,MLRF1
windsp3day,sLow,suns,09172017,MLRF1
