YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 27 04 00 113  2.3  2.7 99.00 99.00 99.00 999 1017.0  26.3 999.0 999.0 99.0 99.00
2006 05 27 05 00  82  1.5  2.4 99.00 99.00 99.00 999 1016.8  26.2 999.0 999.0 99.0 99.00
2006 05 27 06 00  86  2.0  3.3 99.00 99.00 99.00 999 1016.4  26.2 999.0 999.0 99.0 99.00
2006 05 27 07 00 118  4.6  4.9 99.00 99.00 99.00 999 1015.5  26.1 999.0 999.0 99.0 99.00
2006 05 27 08 00 118  5.3  5.7 99.00 99.00 99.00 999 1014.9  26.1 999.0 999.0 99.0 99.00
2006 05 27 09 00  61  4.2  4.9 99.00 99.00 99.00 999 1014.6  26.4 999.0 999.0 99.0 99.00
2006 05 27 10 00 156  2.3  3.4 99.00 99.00 99.00 999 1015.5  26.5 999.0 999.0 99.0 99.00
2006 05 27 11 00 144  6.0  6.7 99.00 99.00 99.00 999 1015.7  26.3 999.0 999.0 99.0 99.00
2006 05 27 12 00 173  3.8  4.0 99.00 99.00 99.00 999 1016.8  26.4 999.0 999.0 99.0 99.00
2006 05 27 13 00 164  2.9  3.3 99.00 99.00 99.00 999 1017.7  27.1 999.0 999.0 99.0 99.00
2006 05 27 14 00   0  0.0  0.0 99.00 99.00 99.00 999 1018.2  28.3 999.0 999.0 99.0 99.00
2006 05 27 15 00 160  0.5  0.6 99.00 99.00 99.00 999 1018.3  29.1 999.0 999.0 99.0 99.00
2006 05 27 16 00  65  3.2  3.7 99.00 99.00 99.00 999 1017.9  27.9 999.0 999.0 99.0 99.00
2006 05 27 17 00  52  6.2  6.7 99.00 99.00 99.00 999 1017.0  26.9 999.0 999.0 99.0 99.00
2006 05 27 18 00 118  0.9  1.1 99.00 99.00 99.00 999 1017.3  28.5 999.0 999.0 99.0 99.00
2006 05 27 19 00 148  3.6  3.8 99.00 99.00 99.00 999 1017.0  27.6 999.0 999.0 99.0 99.00
2006 05 27 20 00 145  2.5  2.8 99.00 99.00 99.00 999 1016.6  27.9 999.0 999.0 99.0 99.00
2006 05 27 21 00 111  0.2  0.5 99.00 99.00 99.00 999 1016.5  28.3 999.0 999.0 99.0 99.00
2006 05 27 22 00 101  0.7  1.1 99.00 99.00 99.00 999 1016.2  27.5 999.0 999.0 99.0 99.00
2006 05 27 23 00  62  0.8  0.9 99.00 99.00 99.00 999 1016.3  27.0 999.0 999.0 99.0 99.00
2006 05 28 00 00 110  1.1  1.2 99.00 99.00 99.00 999 1016.8  26.7 999.0 999.0 99.0 99.00
2006 05 28 01 00 121  3.2  3.3 99.00 99.00 99.00 999 1017.6  26.5 999.0 999.0 99.0 99.00
2006 05 28 02 00  79  2.0  3.4 99.00 99.00 99.00 999 1017.2  26.8 999.0 999.0 99.0 99.00
2006 05 28 03 00 103  3.0  4.3 99.00 99.00 99.00 999 1017.6  26.5 999.0 999.0 99.0 99.00
2006 05 28 04 00 102  2.7  4.9 99.00 99.00 99.00 999 1018.0  26.4 999.0 999.0 99.0 99.00
2006 05 28 05 00  65  5.7  6.0 99.00 99.00 99.00 999 1017.4  26.5 999.0 999.0 99.0 99.00
2006 05 28 06 00 113  5.0  5.5 99.00 99.00 99.00 999 1017.1  26.4 999.0 999.0 99.0 99.00
2006 05 28 07 00 117  3.1  3.7 99.00 99.00 99.00 999 1016.8  26.3 999.0 999.0 99.0 99.00
2006 05 28 08 00  78  1.4  1.9 99.00 99.00 99.00 999 1016.7  26.1 999.0 999.0 99.0 99.00
2006 05 28 09 00  77  1.6  2.7 99.00 99.00 99.00 999 1016.9  26.0 999.0 999.0 99.0 99.00
2006 05 28 10 00 127  2.0  2.2 99.00 99.00 99.00 999 1017.1  25.9 999.0 999.0 99.0 99.00
2006 05 28 11 00 124  2.0  2.5 99.00 99.00 99.00 999 1017.5  26.0 999.0 999.0 99.0 99.00
2006 05 28 12 00  73  2.5  3.6 99.00 99.00 99.00 999 1017.9  26.4 999.0 999.0 99.0 99.00
2006 05 28 13 00 130  3.2  3.6 99.00 99.00 99.00 999 1018.4  26.9 999.0 999.0 99.0 99.00
2006 05 28 14 00 112  3.0  3.3 99.00 99.00 99.00 999 1018.8  27.2 999.0 999.0 99.0 99.00
2006 05 28 15 00 117  3.5  3.9 99.00 99.00 99.00 999 1019.5  27.3 999.0 999.0 99.0 99.00
2006 05 28 16 00 118  2.8  3.2 99.00 99.00 99.00 999 1019.5  27.9 999.0 999.0 99.0 99.00
2006 05 28 17 00  78  2.5  3.7 99.00 99.00 99.00 999 1019.3  27.3 999.0 999.0 99.0 99.00
2006 05 28 18 00  84  1.3  1.9 99.00 99.00 99.00 999 1019.0  27.8 999.0 999.0 99.0 99.00
2006 05 28 19 00 115  1.6  1.9 99.00 99.00 99.00 999 1018.5  28.8 999.0 999.0 99.0 99.00
2006 05 28 20 00 153  1.1  1.3 99.00 99.00 99.00 999 1018.0  29.3 999.0 999.0 99.0 99.00
2006 05 28 21 00 191  0.8  1.1 99.00 99.00 99.00 999 1017.4  28.9 999.0 999.0 99.0 99.00
2006 05 28 22 00 277  0.4  0.6 99.00 99.00 99.00 999 1017.0  29.9 999.0 999.0 99.0 99.00
2006 05 28 23 00 220  2.1  2.5 99.00 99.00 99.00 999 1017.0  27.7 999.0 999.0 99.0 99.00
2006 05 29 00 00 187  3.0  3.3 99.00 99.00 99.00 999 1017.3  27.0 999.0 999.0 99.0 99.00
2006 05 29 01 00 194  2.7  3.0 99.00 99.00 99.00 999 1017.5  26.7 999.0 999.0 99.0 99.00
2006 05 29 02 00 150  1.2  1.3 99.00 99.00 99.00 999 1017.7  26.4 999.0 999.0 99.0 99.00
2006 05 29 03 00   0  0.0  0.0 99.00 99.00 99.00 999 1018.3  26.2 999.0 999.0 99.0 99.00
2006 05 29 04 00  37  1.2  1.5 99.00 99.00 99.00 999 1018.5  26.5 999.0 999.0 99.0 99.00
2006 05 29 05 00   2  1.6  2.0 99.00 99.00 99.00 999 1017.9  26.5 999.0 999.0 99.0 99.00
2006 05 29 06 00 356  3.8  4.1 99.00 99.00 99.00 999 1016.9  27.1 999.0 999.0 99.0 99.00
2006 05 29 07 00   0  3.4  3.7 99.00 99.00 99.00 999 1016.3  26.9 999.0 999.0 99.0 99.00
2006 05 29 08 00 353  2.9  3.1 99.00 99.00 99.00 999 1016.1  26.7 999.0 999.0 99.0 99.00
2006 05 29 09 00 357  3.7  4.0 99.00 99.00 99.00 999 1016.0  26.5 999.0 999.0 99.0 99.00
2006 05 29 10 00 356  4.1  4.7 99.00 99.00 99.00 999 1016.2  26.3 999.0 999.0 99.0 99.00
2006 05 29 11 00 342  3.2  3.7 99.00 99.00 99.00 999 1016.6  26.3 999.0 999.0 99.0 99.00
2006 05 29 12 00 359  3.6  3.9 99.00 99.00 99.00 999 1017.2  26.4 999.0 999.0 99.0 99.00
2006 05 29 13 00   8  3.4  3.7 99.00 99.00 99.00 999 1017.8  26.5 999.0 999.0 99.0 99.00
2006 05 29 14 00  21  2.8  3.1 99.00 99.00 99.00 999 1018.0  26.5 999.0 999.0 99.0 99.00
2006 05 29 15 00   1  2.5  2.8 99.00 99.00 99.00 999 1018.3  26.5 999.0 999.0 99.0 99.00
2006 05 29 16 00  10  1.1  1.7 99.00 99.00 99.00 999 1018.1  26.8 999.0 999.0 99.0 99.00
2006 05 29 17 00 338  1.3  1.5 99.00 99.00 99.00 999 1017.9  26.8 999.0 999.0 99.0 99.00
2006 05 29 18 00 323  0.4  1.0 99.00 99.00 99.00 999 1017.1  27.9 999.0 999.0 99.0 99.00
2006 05 29 19 00 315  0.9  1.3 99.00 99.00 99.00 999 1016.7  27.3 999.0 999.0 99.0 99.00
2006 05 29 20 00 315  1.2  1.6 99.00 99.00 99.00 999 1016.0  27.3 999.0 999.0 99.0 99.00
2006 05 29 21 00 326  1.5  1.9 99.00 99.00 99.00 999 1015.6  27.4 999.0 999.0 99.0 99.00
2006 05 29 22 00 309  1.1  1.4 99.00 99.00 99.00 999 1015.1  27.8 999.0 999.0 99.0 99.00
2006 05 29 23 00 351  1.2  1.4 99.00 99.00 99.00 999 1015.4  28.0 999.0 999.0 99.0 99.00
2006 05 30 00 00   5  1.6  1.9 99.00 99.00 99.00 999 1015.4  27.6 999.0 999.0 99.0 99.00
2006 05 30 01 00  42  3.1  3.4 99.00 99.00 99.00 999 1015.5  27.3 999.0 999.0 99.0 99.00
2006 05 31 18 00  16  5.4  5.8 99.00 99.00 99.00 999 1015.7  26.7 999.0 999.0 99.0 99.00
2006 05 31 19 00  16  4.3  4.8 99.00 99.00 99.00 999 1015.5  26.9 999.0 999.0 99.0 99.00
2006 05 31 20 00   2  2.9  3.1 99.00 99.00 99.00 999 1015.0  27.1 999.0 999.0 99.0 99.00
2006 05 31 21 00   7  3.4  4.0 99.00 99.00 99.00 999 1014.7  27.1 999.0 999.0 99.0 99.00
2006 05 31 22 00 343  1.4  1.9 99.00 99.00 99.00 999 1014.2  27.4 999.0 999.0 99.0 99.00
2006 05 31 23 00 355  2.8  3.1 99.00 99.00 99.00 999 1014.5  27.2 999.0 999.0 99.0 99.00
