#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 05 00 352 13.1 13.8 99.00 99.00 99.00 999 1023.0  18.5 999.0 999.0 99.0 99.00
2012 01 03 06 00 352 12.4 13.3 99.00 99.00 99.00 999 1023.0  18.4 999.0 999.0 99.0 99.00
2012 01 03 07 00 352 13.2 14.5 99.00 99.00 99.00 999 1023.4  18.1 999.0 999.0 99.0 99.00
2012 01 03 08 00 353 14.1 15.8 99.00 99.00 99.00 999 1023.3  17.9 999.0 999.0 99.0 99.00
2012 01 03 09 00 355 14.2 15.8 99.00 99.00 99.00 999 1023.4  17.6 999.0 999.0 99.0 99.00
2012 01 03 10 00 350 13.3 15.1 99.00 99.00 99.00 999 1023.9  17.7 999.0 999.0 99.0 99.00
2012 01 03 11 00 347 14.0 15.3 99.00 99.00 99.00 999 1024.6  17.8 999.0 999.0 99.0 99.00
2012 01 03 12 00 346 11.9 14.8 99.00 99.00 99.00 999 1025.1  18.3 999.0 999.0 99.0 99.00
2012 01 03 13 00 344 13.2 14.5 99.00 99.00 99.00 999 1025.8  18.1 999.0 999.0 99.0 99.00
2012 01 03 14 00 336 15.2 16.8 99.00 99.00 99.00 999 1026.3  18.2 999.0 999.0 99.0 99.00
2012 01 03 15 00 330 13.8 15.3 99.00 99.00 99.00 999 1027.0  17.7 999.0 999.0 99.0 99.00
2012 01 03 16 00 346 13.2 14.0 99.00 99.00 99.00 999 1026.6  17.2 999.0 999.0 99.0 99.00
2012 01 03 17 00 345 14.3 15.4 99.00 99.00 99.00 999 1026.1  16.1 999.0 999.0 99.0 99.00
2012 01 03 18 00 351 14.8 16.8 99.00 99.00 99.00 999 1025.5  14.9 999.0 999.0 99.0 99.00
2012 01 03 19 00   0 13.2 14.8 99.00 99.00 99.00 999 1025.4  14.0 999.0 999.0 99.0 99.00
2012 01 03 20 00 349 11.1 12.8 99.00 99.00 99.00 999 1025.6  13.6 999.0 999.0 99.0 99.00
2012 01 03 21 00   3 11.7 13.6 99.00 99.00 99.00 999 1026.0  13.0 999.0 999.0 99.0 99.00
2012 01 03 22 00 353 10.2 12.7 99.00 99.00 99.00 999 1026.5  13.1 999.0 999.0 99.0 99.00
2012 01 03 23 00   6  8.9 11.1 99.00 99.00 99.00 999 1026.5  12.6 999.0 999.0 99.0 99.00
2012 01 04 00 00   3  7.1  8.6 99.00 99.00 99.00 999 1027.2  12.4 999.0 999.0 99.0 99.00
2012 01 04 01 00   3  7.7 10.1 99.00 99.00 99.00 999 1027.3  12.7 999.0 999.0 99.0 99.00
2012 01 04 02 00   1  6.8  8.1 99.00 99.00 99.00 999 1027.8  12.9 999.0 999.0 99.0 99.00
2012 01 04 03 00   7  5.8  6.8 99.00 99.00 99.00 999 1027.8  13.1 999.0 999.0 99.0 99.00
2012 01 04 04 00  25  8.4  9.4 99.00 99.00 99.00 999 1027.7  13.4 999.0 999.0 99.0 99.00
2012 01 04 05 00  31  9.0 10.6 99.00 99.00 99.00 999 1027.5  12.9 999.0 999.0 99.0 99.00
2012 01 04 06 00  30  9.4 10.5 99.00 99.00 99.00 999 1027.4  12.8 999.0 999.0 99.0 99.00
2012 01 04 07 00  42 10.0 12.3 99.00 99.00 99.00 999 1027.2  12.4 999.0 999.0 99.0 99.00
2012 01 04 08 00  35  7.5  8.6 99.00 99.00 99.00 999 1026.9  12.2 999.0 999.0 99.0 99.00
2012 01 04 09 00  40  7.8  9.5 99.00 99.00 99.00 999 1026.9  12.0 999.0 999.0 99.0 99.00
2012 01 04 10 00  37  8.1  9.5 99.00 99.00 99.00 999 1026.9  11.7 999.0 999.0 99.0 99.00
2012 01 04 11 00  46  8.5  9.6 99.00 99.00 99.00 999 1027.3  11.5 999.0 999.0 99.0 99.00
2012 01 04 12 00  33  7.1  8.9 99.00 99.00 99.00 999 1028.1  11.4 999.0 999.0 99.0 99.00
2012 01 04 13 00  31  8.0  9.4 99.00 99.00 99.00 999 1028.7  11.8 999.0 999.0 99.0 99.00
2012 01 04 14 00  36  7.4  8.3 99.00 99.00 99.00 999 1029.1  12.2 999.0 999.0 99.0 99.00
2012 01 04 15 00  27  6.2  7.4 99.00 99.00 99.00 999 1029.6  12.6 999.0 999.0 99.0 99.00
2012 01 04 16 00  46  4.9  6.2 99.00 99.00 99.00 999 1029.1  12.8 999.0 999.0 99.0 99.00
2012 01 04 17 00  37  4.7  5.5 99.00 99.00 99.00 999 1028.3  13.0 999.0 999.0 99.0 99.00
2012 01 04 18 00  41  5.4  6.4 99.00 99.00 99.00 999 1026.9  13.3 999.0 999.0 99.0 99.00
2012 01 04 19 00  25  5.0  7.6 99.00 99.00 99.00 999 1026.0  13.8 999.0 999.0 99.0 99.00
2012 01 04 20 00  26  6.1  6.7 99.00 99.00 99.00 999 1025.7  14.0 999.0 999.0 99.0 99.00
