YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 03 11  82 11.1 12.3 99.00 99.00 99.00 999 1022.6  23.0  22.5 999.0 99.0
98 01 03 12  79 11.3 11.9 99.00 99.00 99.00 999 1023.0  23.1  22.5 999.0 99.0
98 01 03 13  78 10.5 11.8 99.00 99.00 99.00 999 1023.0  23.1  22.5 999.0 99.0
98 01 03 14  88 10.6 12.0 99.00 99.00 99.00 999 1023.4  23.2  22.4 999.0 99.0
98 01 03 15  87  9.6 10.7 99.00 99.00 99.00 999 1023.6  23.5  22.5 999.0 99.0
98 01 03 16  86  9.9 10.7 99.00 99.00 99.00 999 1023.2  23.6  22.5 999.0 99.0
98 01 03 17  94 10.8 12.9 99.00 99.00 99.00 999 1022.2  23.5  22.6 999.0 99.0
98 01 03 18  93 11.7 13.4 99.00 99.00 99.00 999 1021.2  23.6  22.6 999.0 99.0
98 01 03 19  81 11.6 12.8 99.00 99.00 99.00 999 1020.8  23.5  22.6 999.0 99.0
98 01 03 20  78 10.4 11.9 99.00 99.00 99.00 999 1020.3  23.5  22.7 999.0 99.0
98 01 03 21  80  9.8 11.1 99.00 99.00 99.00 999 1020.6  23.7  22.7 999.0 99.0
98 01 03 22  76 10.8 12.1 99.00 99.00 99.00 999 1020.9  23.6  22.7 999.0 99.0
98 01 03 23  79 10.5 11.9 99.00 99.00 99.00 999 1020.8  23.6  22.7 999.0 99.0
98 01 04 00  76 10.1 11.5 99.00 99.00 99.00 999 1020.9  23.5  22.7 999.0 99.0
98 01 04 01  76 11.2 12.7 99.00 99.00 99.00 999 1021.3  23.2  22.6 999.0 99.0
98 01 04 02  85 12.6 14.2 99.00 99.00 99.00 999 1021.0  23.7  22.5 999.0 99.0
98 01 04 03  85  9.6 10.8 99.00 99.00 99.00 999 1021.1  23.7  22.5 999.0 99.0
98 01 04 04  86 12.0 13.8 99.00 99.00 99.00 999 1020.8  23.8  22.4 999.0 99.0
98 01 04 05  89 11.9 13.4 99.00 99.00 99.00 999 1020.4  23.8  22.3 999.0 99.0
98 01 04 06  88 10.5 11.6 99.00 99.00 99.00 999 1019.8  23.9  22.4 999.0 99.0
98 01 04 07  96 10.2 11.4 99.00 99.00 99.00 999 1019.1  24.0  22.4 999.0 99.0
98 01 04 08  87 10.0 11.1 99.00 99.00 99.00 999 1018.2  23.9  22.5 999.0 99.0
98 01 04 09  93 11.5 13.1 99.00 99.00 99.00 999 1018.1  24.1  22.6 999.0 99.0
98 01 04 10  85 12.3 13.5 99.00 99.00 99.00 999 1018.3  24.2  22.5 999.0 99.0
98 01 04 11  76 13.4 15.0 99.00 99.00 99.00 999 1018.8  23.5  22.5 999.0 99.0
98 01 04 12  90 11.0 12.8 99.00 99.00 99.00 999 1019.3  24.0  22.4 999.0 99.0
98 01 04 13  89 11.7 13.2 99.00 99.00 99.00 999 1019.7  24.0  22.4 999.0 99.0
98 01 04 14  92 10.7 11.8 99.00 99.00 99.00 999 1020.3  24.2  22.3 999.0 99.0
98 01 04 15  78 13.2 14.4 99.00 99.00 99.00 999 1021.2  24.4  22.5 999.0 99.0
98 01 04 16  73 15.0 16.5 99.00 99.00 99.00 999 1021.1  23.6  22.3 999.0 99.0
98 01 04 17  73 14.3 15.9 99.00 99.00 99.00 999 1020.2  23.5  22.4 999.0 99.0
98 01 04 18  83 15.5 16.9 99.00 99.00 99.00 999 1018.8  23.7  22.7 999.0 99.0
98 01 04 19  86 13.6 14.9 99.00 99.00 99.00 999 1018.0  23.4  22.9 999.0 99.0
