#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 27 01 00  MM   MM   MM    MM    MM    MM  MM 1016.2  28.4  30.8  23.3   MM +1.0    MM
2017 06 27 00 00 170  2.1  3.1    MM    MM    MM  MM 1016.2  28.9  30.9  23.9   MM +0.9    MM
2017 06 26 22 00 160  3.6  4.1    MM    MM    MM  MM 1015.2  29.5  31.1  24.2   MM   MM    MM
2017 06 26 21 00 170  3.1  4.1    MM    MM    MM  MM 1015.3  29.4  31.2  23.5   MM   MM    MM
2017 06 26 12 00 160  5.1   MM    MM    MM    MM  MM     MM  28.2    MM  24.3   MM   MM    MM
2017 06 26 10 00 150  4.6  5.7    MM    MM    MM  MM 1017.4  28.0  29.6  24.9   MM   MM    MM
2017 06 26 09 00 150  3.1  4.6    MM    MM    MM  MM 1017.2  28.4  29.6  24.7   MM -0.9    MM
2017 06 26 08 00 130  4.6  5.1    MM    MM    MM  MM 1017.5  28.4  29.7  23.9   MM -1.1    MM
2017 06 26 07 00 130  3.6   MM    MM    MM    MM  MM     MM  28.4    MM  24.4   MM   MM    MM
2017 06 26 06 00 120  3.6  5.1    MM    MM    MM  MM 1018.1  28.5  29.9  24.0   MM -0.4    MM
2017 06 26 05 00 120  5.7   MM    MM    MM    MM  MM 1018.6  28.3  30.0  24.1   MM   MM    MM
2017 06 26 03 00 110  5.7   MM    MM    MM    MM  MM 1018.5  28.4    MM  24.0   MM +1.5    MM
2017 06 26 02 00 110  5.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 26 01 00 130  3.6  4.6    MM    MM    MM  MM 1017.6  28.5  30.4  23.9   MM -0.0    MM
2017 06 26 00 00 120  4.6  5.1    MM    MM    MM  MM 1017.0  28.5  30.5  23.9   MM -0.9    MM
2017 06 25 23 00 140  3.6  4.6    MM    MM    MM  MM 1017.0  28.8  30.6  24.0   MM   MM    MM
2017 06 25 22 00 160  4.1  4.6    MM    MM    MM  MM 1017.5  29.4  30.6  23.8   MM   MM    MM
2017 06 25 21 00  90  4.6   MM    MM    MM    MM  MM 1017.9  28.4    MM  24.1   MM   MM    MM
2017 06 25 13 00 140  5.1  5.7    MM    MM    MM  MM 1019.1  28.6  29.1  23.2   MM +1.0    MM
2017 06 25 10 00 150  5.1   MM    MM    MM    MM  MM 1018.1  28.2    MM  23.5   MM   MM    MM
2017 06 25 08 00 160  6.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 25 06 00 150  4.6  5.7    MM    MM    MM  MM 1018.1  28.3  29.7  24.2   MM   MM    MM
2017 06 25 04 00 120  4.1  5.7    MM    MM    MM  MM 1018.8  28.5  29.9  24.4   MM   MM    MM
2017 06 25 00 00 120  5.1  6.2    MM    MM    MM  MM 1017.3  28.5  30.2  24.3   MM +0.3    MM
2017 06 24 21 00 120  5.1  6.2    MM    MM    MM  MM 1017.0  28.9  30.3  24.1   MM   MM    MM
2017 06 24 12 00 150  5.1   MM    MM    MM    MM  MM     MM  28.7    MM  24.3   MM   MM    MM
2017 06 24 09 00 130  6.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 24 05 00 130  6.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 24 03 00 130  6.7   MM    MM    MM    MM  MM     MM  28.5    MM  24.0   MM   MM    MM
2017 06 23 23 00 120  7.7   MM    MM    MM    MM  MM 1015.1  28.7  30.1  24.2   MM   MM    MM
2017 06 23 22 00 130  6.2   MM    MM    MM    MM  MM     MM  28.7    MM  24.2   MM   MM    MM
2017 06 23 14 00 120  7.2   MM    MM    MM    MM  MM     MM  28.4    MM    MM   MM   MM    MM
2017 06 23 08 00 130  5.1   MM    MM    MM    MM  MM     MM  28.3    MM  24.5   MM   MM    MM
2017 06 23 07 00 130  6.2   MM    MM    MM    MM  MM     MM  28.3    MM  24.0   MM   MM    MM
2017 06 23 05 00 120  6.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 23 00 00 120  5.7  6.7    MM    MM    MM  MM 1016.3  28.5  30.3  23.9   MM   MM    MM
2017 06 22 23 00 110  6.2   MM    MM    MM    MM  MM     MM  28.6    MM  23.7   MM   MM    MM
2017 06 22 21 00 130  5.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 22 20 00 130  6.7  7.7    MM    MM    MM  MM 1016.5  28.8  30.4  23.1   MM   MM    MM
2017 06 22 12 00 130  7.7   MM    MM    MM    MM  MM     MM  28.6    MM    MM   MM   MM    MM
2017 06 22 09 00 140  6.7   MM    MM    MM    MM  MM     MM  28.2    MM  24.9   MM   MM    MM
2017 06 22 07 00 140  6.7   MM    MM    MM    MM  MM 1016.7  28.4    MM  25.1   MM   MM    MM
2017 06 22 05 00 130  6.2  6.7    MM    MM    MM  MM 1017.6  28.5  29.8  25.5   MM +0.0    MM
2017 06 22 03 00 150  6.2   MM    MM    MM    MM  MM 1017.7  28.7    MM  25.9   MM   MM    MM
2017 06 22 02 00 150  6.2  7.2    MM    MM    MM  MM 1017.5  28.6  30.2  25.9   MM   MM    MM
2017 06 22 01 00  MM   MM   MM    MM    MM    MM  MM 1016.7  28.7    MM  25.6   MM   MM    MM
2017 06 21 23 00 140  5.7   MM    MM    MM    MM  MM     MM  29.3    MM  25.8   MM   MM    MM
2017 06 21 17 00 170  6.7   MM    MM    MM    MM  MM     MM  28.8    MM  25.7   MM   MM    MM
2017 06 21 15 00 160  6.2   MM    MM    MM    MM  MM 1016.5  28.8    MM  26.0   MM   MM    MM
2017 06 21 14 00 160  6.7   MM    MM    MM    MM  MM     MM  28.8    MM  25.8   MM   MM    MM
2017 06 21 12 00 160  7.7   MM    MM    MM    MM  MM     MM  28.4    MM  25.3   MM   MM    MM
2017 06 21 11 00 150  8.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 21 09 00 150  8.2   MM    MM    MM    MM  MM 1014.3  28.4    MM  25.2   MM   MM    MM
2017 06 21 05 00 140  9.8 10.8    MM    MM    MM  MM 1015.1  28.6  29.4  25.5   MM   MM    MM
2017 06 21 04 00 150  9.8   MM    MM    MM    MM  MM     MM  28.6    MM  25.7   MM   MM    MM
2017 06 20 22 00 130  6.7   MM    MM    MM    MM  MM     MM  29.0    MM  25.2   MM   MM    MM
2017 06 20 16 00 150  8.8   MM    MM    MM    MM  MM     MM  28.7    MM  24.6   MM   MM    MM
2017 06 20 11 00 130 10.3   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 19 01 00 170 10.3   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 22 00 110  8.8   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 15 00 160  6.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 14 00 170  6.2   MM    MM    MM    MM  MM     MM  28.5    MM  23.2   MM   MM    MM
2017 06 18 13 00 170  7.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 12 00 160  8.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 07 00 150  7.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 18 06 00 150  8.2   MM    MM    MM    MM  MM     MM  28.4    MM  24.2   MM   MM    MM
2017 06 18 00 00 140  4.6   MM    MM    MM    MM  MM     MM  28.7    MM  24.1   MM   MM    MM
2017 06 17 21 00 100  4.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 17 16 00 180  3.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 17 05 00 160  6.7   MM    MM    MM    MM  MM     MM  28.0    MM  24.3   MM   MM    MM
2017 06 17 03 00 160  5.1   MM    MM    MM    MM  MM     MM  28.1    MM  24.0   MM   MM    MM
2017 06 15 23 00 170  4.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 15 17 00 170  3.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 15 15 00 160  4.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 15 14 00 140  3.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 15 13 00 110  3.6  4.6    MM    MM    MM  MM 1016.7  28.3  29.1  24.0   MM   MM    MM
2017 06 15 12 00 150  3.6  4.1    MM    MM    MM  MM 1016.3  28.2  29.0  23.7   MM +0.7    MM
2017 06 15 11 00 160  2.1  3.1    MM    MM    MM  MM 1016.1  27.9  29.1  23.8   MM   MM    MM
2017 06 15 09 00 160  3.6  4.1    MM    MM    MM  MM 1015.6  28.0  29.3  23.6   MM -0.7    MM
2017 06 15 07 00 170  2.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 15 06 00 150  3.1   MM    MM    MM    MM  MM 1016.3  27.8    MM  23.9   MM   MM    MM
2017 06 15 04 00 150  4.1   MM    MM    MM    MM  MM 1017.3  28.0  29.7  24.3   MM   MM    MM
2017 06 15 03 00 140  4.6   MM    MM    MM    MM  MM     MM  28.0    MM    MM   MM   MM    MM
2017 06 14 14 00 180  4.6   MM    MM    MM    MM  MM 1017.4  28.7    MM  24.3   MM   MM    MM
2017 06 14 12 00 140  5.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 14 11 00 160  4.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 14 09 00 130  4.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 14 08 00 110  6.2  7.2    MM    MM    MM  MM 1014.7  26.7  29.0  22.6   MM   MM    MM
2017 06 14 07 00 150  5.7  5.7    MM    MM    MM  MM 1015.0  26.9  29.1  23.5   MM   MM    MM
2017 06 14 03 00 100  4.1   MM    MM    MM    MM  MM     MM  28.0    MM  23.6   MM   MM    MM
2017 06 14 02 00  80  5.7  6.2    MM    MM    MM  MM 1016.4  27.9  29.5  23.8   MM   MM    MM
2017 06 14 00 00 110  3.6   MM    MM    MM    MM  MM     MM  28.1    MM  23.0   MM   MM    MM
2017 06 13 14 00 130  6.2   MM    MM    MM    MM  MM 1017.7  28.4    MM  22.3   MM +1.5    MM
2017 06 13 11 00 110  7.2  9.8    MM    MM    MM  MM 1016.2  28.0  28.6  24.1   MM   MM    MM
