YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 03 11  74 12.6 13.3 99.00 99.00 99.00 999 1022.0  22.4  20.4 999.0 99.0
98 01 03 12  63 11.5 12.3 99.00 99.00 99.00 999 1022.3  22.2  20.7 999.0 99.0
98 01 03 13  78 13.6 14.3 99.00 99.00 99.00 999 1022.1  22.3  20.8 999.0 99.0
98 01 03 14  74 11.7 12.8 99.00 99.00 99.00 999 1022.9  22.8  21.1 999.0 99.0
98 01 03 15  80 12.5 13.0 99.00 99.00 99.00 999 1023.1  23.2  21.3 999.0 99.0
98 01 03 16  76 11.0 11.7 99.00 99.00 99.00 999 1022.9  23.4  21.9 999.0 99.0
98 01 03 17  70  9.2  9.6 99.00 99.00 99.00 999 1022.2  23.3  22.0 999.0 99.0
98 01 03 18  58  7.6  7.9 99.00 99.00 99.00 999 1021.1  22.1  22.1 999.0 99.0
98 01 03 19  67  7.3 10.5 99.00 99.00 99.00 999 1020.6  22.7  22.0 999.0 99.0
98 01 03 20  52  8.7  9.0 99.00 99.00 99.00 999 1020.3  22.1  22.0 999.0 99.0
98 01 03 21  37  8.7  9.1 99.00 99.00 99.00 999 1020.4  21.8  22.0 999.0 99.0
98 01 03 22  44  9.6 10.1 99.00 99.00 99.00 999 1020.4  21.9  22.0 999.0 99.0
98 01 03 23  53 11.6 12.1 99.00 99.00 99.00 999 1020.0  22.1  22.0 999.0 99.0
98 01 04 00  51 11.5 12.2 99.00 99.00 99.00 999 1020.4  22.2  21.9 999.0 99.0
98 01 04 01  60 13.3 14.7 99.00 99.00 99.00 999 1020.4  22.4  21.7 999.0 99.0
98 01 04 02  66 11.8 12.4 99.00 99.00 99.00 999 1020.5  22.4  21.5 999.0 99.0
98 01 04 03  73 12.1 12.7 99.00 99.00 99.00 999 1020.3  22.8  21.5 999.0 99.0
98 01 04 04  80 12.8 13.6 99.00 99.00 99.00 999 1020.2  23.4  21.6 999.0 99.0
98 01 04 05  77  9.9 10.6 99.00 99.00 99.00 999 1020.0  23.4  22.0 999.0 99.0
98 01 04 06  75 10.5 11.2 99.00 99.00 99.00 999 1019.6  23.4  22.1 999.0 99.0
98 01 04 07  77 10.8 11.6 99.00 99.00 99.00 999 1018.5  23.3  22.1 999.0 99.0
98 01 04 08  73  9.9 10.6 99.00 99.00 99.00 999 1018.0  23.3  22.1 999.0 99.0
98 01 04 09  74 10.5 11.3 99.00 99.00 99.00 999 1017.5  23.2  22.1 999.0 99.0
98 01 04 10  73 10.3 11.0 99.00 99.00 99.00 999 1017.6  23.1  22.0 999.0 99.0
98 01 04 11  74 11.2 11.8 99.00 99.00 99.00 999 1018.3  23.3  22.0 999.0 99.0
98 01 04 12  79 11.6 12.8 99.00 99.00 99.00 999 1018.5  23.4  21.9 999.0 99.0
98 01 04 13  87 11.4 12.4 99.00 99.00 99.00 999 1018.7  23.5  21.7 999.0 99.0
98 01 04 14  82 11.4 12.3 99.00 99.00 99.00 999 1019.7  23.6  21.6 999.0 99.0
98 01 04 15  78 11.3 11.9 99.00 99.00 99.00 999 1020.2  23.6  21.6 999.0 99.0
98 01 04 16  77 11.2 12.4 99.00 99.00 99.00 999 1020.5  23.7  21.9 999.0 99.0
98 01 04 17  65 14.3 15.9 99.00 99.00 99.00 999 1019.7  23.2  22.1 999.0 99.0
98 01 04 18  70 14.0 15.5 99.00 99.00 99.00 999 1018.4  23.5  22.2 999.0 99.0
98 01 04 19  70 11.4 12.4 99.00 99.00 99.00 999 1017.7  23.6  22.2 999.0 99.0
98 01 04 20  69 11.6 12.8 99.00 99.00 99.00 999 1017.2  23.8  22.3 999.0 99.0
98 01 04 21  76 11.6 12.1 99.00 99.00 99.00 999 1017.1  23.7  22.3 999.0 99.0
98 01 04 22  80 10.1 10.6 99.00 99.00 99.00 999 1017.0  24.0  22.3 999.0 99.0
98 01 04 23  94 10.5 12.0 99.00 99.00 99.00 999 1017.1  24.0  22.3 999.0 99.0
98 01 05 00  82 10.2 11.0 99.00 99.00 99.00 999 1017.8  24.0  22.3 999.0 99.0
98 01 05 01  70  8.8  9.3 99.00 99.00 99.00 999 1018.0  23.4  22.3 999.0 99.0
98 01 05 02  69  8.5  8.8 99.00 99.00 99.00 999 1018.4  22.9  22.3 999.0 99.0
98 01 05 03  70  8.3  8.6 99.00 99.00 99.00 999 1018.7  22.9  22.4 999.0 99.0
98 01 05 04  73  6.7  7.3 99.00 99.00 99.00 999 1018.5  22.9  22.4 999.0 99.0
98 01 05 05  76  9.1  9.5 99.00 99.00 99.00 999 1017.9  23.3  22.4 999.0 99.0
98 01 05 06  90 10.6 11.2 99.00 99.00 99.00 999 1017.5  23.7  22.4 999.0 99.0
98 01 05 07  86 11.6 12.3 99.00 99.00 99.00 999 1017.0  23.5  22.5 999.0 99.0
98 01 05 08  87  9.6 10.1 99.00 99.00 99.00 999 1016.7  23.7  22.5 999.0 99.0
98 01 05 09  83 10.3 10.5 99.00 99.00 99.00 999 1016.4  23.7  22.5 999.0 99.0
98 01 05 10  90 11.3 11.8 99.00 99.00 99.00 999 1016.2  24.0  22.5 999.0 99.0
98 01 05 11  89  9.8 10.8 99.00 99.00 99.00 999 1016.7  24.0  22.5 999.0 99.0
98 01 05 12  96 10.6 10.8 99.00 99.00 99.00 999 1017.0  23.9  22.5 999.0 99.0
98 01 05 13  94  9.7 10.3 99.00 99.00 99.00 999 1017.7  23.7  22.5 999.0 99.0
98 01 05 14  98  8.3  8.9 99.00 99.00 99.00 999 1018.6  24.2  22.4 999.0 99.0
98 01 05 15  93  8.8  9.3 99.00 99.00 99.00 999 1018.8  24.3  22.4 999.0 99.0
98 01 05 16  87  8.0  8.2 99.00 99.00 99.00 999 1018.8  24.6  22.5 999.0 99.0
98 01 05 17  92  9.0  9.5 99.00 99.00 99.00 999 1017.6  24.6  22.6 999.0 99.0
98 01 05 18  90  9.1  9.6 99.00 99.00 99.00 999 1016.7  24.6  22.6 999.0 99.0
98 01 05 19  88  9.0  9.4 99.00 99.00 99.00 999 1015.9  24.7  22.8 999.0 99.0
98 01 05 20  83  9.0  9.5 99.00 99.00 99.00 999 1015.6  24.7  22.9 999.0 99.0
98 01 05 21  84  8.8  9.3 99.00 99.00 99.00 999 1015.4  24.8  22.9 999.0 99.0
98 01 05 22  85  8.5  9.1 99.00 99.00 99.00 999 1015.4  24.6  22.9 999.0 99.0
98 01 05 23  67  6.9  7.3 99.00 99.00 99.00 999 1016.0  24.1  22.9 999.0 99.0
98 01 06 00  58  7.1  7.3 99.00 99.00 99.00 999 1016.5  23.1  22.9 999.0 99.0
98 01 06 01  64  8.1  8.2 99.00 99.00 99.00 999 1016.8  23.1  22.8 999.0 99.0
98 01 06 02  78  8.3  8.9 99.00 99.00 99.00 999 1017.1  23.6  22.8 999.0 99.0
98 01 06 03  83  7.1  7.6 99.00 99.00 99.00 999 1017.6  24.0  22.8 999.0 99.0
98 01 06 04  89  7.4  7.8 99.00 99.00 99.00 999 1017.4  23.8  22.8 999.0 99.0
98 01 06 05  95  7.2  7.5 99.00 99.00 99.00 999 1017.1  24.1  22.8 999.0 99.0
98 01 06 06  94  7.7  8.1 99.00 99.00 99.00 999 1016.6  24.0  22.9 999.0 99.0
98 01 06 07  94  6.4  6.7 99.00 99.00 99.00 999 1015.9  23.8  23.0 999.0 99.0
