#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 19 15 00  80  5.1  5.7    MM    MM    MM  MM 1024.5  24.9  25.2    MM   MM +1.3    MM
2017 12 19 14 00  90  4.6  5.1    MM    MM    MM  MM 1024.2  24.9  25.1    MM   MM +1.3    MM
2017 12 19 13 00  90  6.7  7.2    MM    MM    MM  MM 1023.7  24.7  25.1    MM   MM +1.1    MM
2017 12 19 12 00  90  6.7  7.2    MM    MM    MM  MM 1023.2  24.3  25.1    MM   MM +0.5    MM
2017 12 19 11 00 100  6.7  7.7    MM    MM    MM  MM 1022.9  24.2  25.1    MM   MM -0.0    MM
2017 12 19 10 00 110  6.7  7.2    MM    MM    MM  MM 1022.6  24.2  25.1    MM   MM -0.5    MM
2017 12 19 09 00 120  7.2  7.7    MM    MM    MM  MM 1022.7  24.2  25.1    MM   MM -1.1    MM
2017 12 19 08 00 110  8.2  8.8    MM    MM    MM  MM 1022.9  24.3  25.2    MM   MM -1.4    MM
2017 12 19 07 00  90  7.2  8.8    MM    MM    MM  MM 1023.1  24.4  25.2    MM   MM -1.5    MM
2017 12 19 06 00  90  7.7  8.8    MM    MM    MM  MM 1023.8  24.4  25.3    MM   MM -0.7    MM
2017 12 19 05 00  90  7.7  8.2    MM    MM    MM  MM 1024.3  24.6  25.3    MM   MM +0.0    MM
2017 12 19 04 00  90  6.7  7.2    MM    MM    MM  MM 1024.6  24.7  25.3    MM   MM +0.9    MM
2017 12 19 03 00  80  6.2  6.7    MM    MM    MM  MM 1024.5  24.6  25.3    MM   MM +1.5    MM
2017 12 19 02 00  90  5.1  5.7    MM    MM    MM  MM 1024.3  24.7  25.3    MM   MM +1.8    MM
2017 12 19 01 00  90  4.6  5.1    MM    MM    MM  MM 1023.7  24.7  25.3    MM   MM +1.6    MM
2017 12 19 00 00 100  4.1  4.6    MM    MM    MM  MM 1023.0  24.7  25.3    MM   MM +0.9    MM
2017 12 18 23 00 120  5.1  5.1    MM    MM    MM  MM 1022.5  24.6  25.4    MM   MM +0.5    MM
2017 12 18 22 00 100  4.6  5.1    MM    MM    MM  MM 1022.1  24.7  25.4    MM   MM +0.0    MM
2017 12 18 21 00 100  4.6  5.1    MM    MM    MM  MM 1022.1  24.9  25.4    MM   MM -0.7    MM
2017 12 18 20 00 110  4.6  4.6    MM    MM    MM  MM 1022.0  25.0  25.5    MM   MM -1.4    MM
2017 12 18 19 00 110  5.1  5.7    MM    MM    MM  MM 1022.2  24.9  25.4    MM   MM -1.8    MM
2017 12 18 18 00 120  5.1  5.7    MM    MM    MM  MM 1022.8  25.1  25.3    MM   MM -1.2    MM
2017 12 18 17 00 110  5.1  5.7    MM    MM    MM  MM 1023.4  24.9  25.2    MM   MM -0.3    MM
