#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 12 08 50  MM   MM   MM    MM    MM    MM  MM 1019.8  18.1    MM   8.8   MM -1.5    MM
2017 12 12 07 50  MM   MM   MM    MM    MM    MM  MM 1020.5  18.2    MM   7.0   MM -1.4    MM
2017 12 12 06 50  MM   MM   MM    MM    MM    MM  MM 1020.9  18.2    MM   7.3   MM -1.6    MM
2017 12 12 05 50  MM   MM   MM    MM    MM    MM  MM 1021.3  18.3    MM   7.4   MM -1.6    MM
2017 12 12 04 50  MM   MM   MM    MM    MM    MM  MM 1021.9  18.3    MM   6.7   MM -0.7    MM
2017 12 12 03 50  MM   MM   MM    MM    MM    MM  MM 1022.5  18.0    MM   8.6   MM +0.0    MM
2017 12 12 02 50  MM   MM   MM    MM    MM    MM  MM 1022.9  17.9    MM   8.6   MM +1.0    MM
2017 12 12 01 50  MM   MM   MM    MM    MM    MM  MM 1022.6  18.0    MM   8.3   MM +0.6    MM
2017 12 12 00 50  MM   MM   MM    MM    MM    MM  MM 1022.6  18.0    MM   7.8   MM +0.7    MM
2017 12 11 23 50  MM   MM   MM    MM    MM    MM  MM 1021.9  18.0    MM   8.5   MM +0.0    MM
2017 12 11 22 50  MM   MM   MM    MM    MM    MM  MM 1022.0  18.0    MM   8.9   MM +0.0    MM
2017 12 11 21 50  MM   MM   MM    MM    MM    MM  MM 1021.9  17.7    MM   9.0   MM -0.6    MM
2017 12 11 20 50  MM   MM   MM    MM    MM    MM  MM 1021.8  17.5    MM   9.6   MM -1.7    MM
2017 12 11 19 50  MM   MM   MM    MM    MM    MM  MM 1022.0  17.1    MM   9.9   MM -2.3    MM
2017 12 11 18 50  MM   MM   MM    MM    MM    MM  MM 1022.5  16.7    MM   9.0   MM -3.0    MM
2017 12 11 17 50  MM   MM   MM    MM    MM    MM  MM 1023.5  16.4    MM   8.4   MM -2.2    MM
2017 12 11 16 50  MM   MM   MM    MM    MM    MM  MM 1024.3  16.4    MM   8.5   MM -1.1    MM
2017 12 11 15 50  MM   MM   MM    MM    MM    MM  MM 1025.5  16.4    MM   8.3   MM +0.4    MM
2017 12 11 14 50  MM   MM   MM    MM    MM    MM  MM 1025.7  16.6    MM   7.2   MM +1.3    MM
2017 12 11 13 50  MM   MM   MM    MM    MM    MM  MM 1025.4  16.5    MM   6.1   MM +1.1    MM
2017 12 11 12 50  MM   MM   MM    MM    MM    MM  MM 1025.1  16.3    MM   7.9   MM +0.9    MM
2017 12 11 11 50  MM   MM   MM    MM    MM    MM  MM 1024.4  16.4    MM   8.6   MM -0.0    MM
2017 12 11 10 50  MM   MM   MM    MM    MM    MM  MM 1024.3  16.3    MM   8.3   MM -0.3    MM
2017 12 11 09 50  MM   MM   MM    MM    MM    MM  MM 1024.2  16.2    MM   7.4   MM -0.7    MM
2017 12 11 08 50  MM   MM   MM    MM    MM    MM  MM 1024.6  16.1    MM   7.8   MM -0.7    MM
2017 12 11 07 50  MM   MM   MM    MM    MM    MM  MM 1024.6  16.1    MM   7.2   MM -1.4    MM
2017 12 11 06 50  MM   MM   MM    MM    MM    MM  MM 1024.9  16.0    MM   6.3   MM -1.4    MM
2017 12 11 05 50  MM   MM   MM    MM    MM    MM  MM 1025.3  16.0    MM   6.6   MM -0.9    MM
2017 12 11 04 50  MM   MM   MM    MM    MM    MM  MM 1026.0  16.1    MM   6.8   MM +0.0    MM
2017 12 11 03 50  MM   MM   MM    MM    MM    MM  MM 1026.3  16.3    MM   7.5   MM +0.8    MM
2017 12 11 02 50  MM   MM   MM    MM    MM    MM  MM 1026.2  16.3    MM   7.8   MM +1.1    MM
2017 12 11 01 50  MM   MM   MM    MM    MM    MM  MM 1026.0  16.3    MM   8.3   MM +1.2    MM
2017 12 11 00 50  MM   MM   MM    MM    MM    MM  MM 1025.5  16.2    MM   8.9   MM +0.9    MM
2017 12 10 23 50  MM   MM   MM    MM    MM    MM  MM 1025.1  16.0    MM   8.9   MM +1.0    MM
2017 12 10 22 50  MM   MM   MM    MM    MM    MM  MM 1024.8  16.2    MM   9.6   MM +0.7    MM
2017 12 10 21 50  MM   MM   MM    MM    MM    MM  MM 1024.6  16.2    MM   9.6   MM +0.7    MM
2017 12 10 20 50  MM   MM   MM    MM    MM    MM  MM 1024.1  16.1    MM   9.8   MM -0.0    MM
2017 12 10 19 50  MM   MM   MM    MM    MM    MM  MM 1024.1  15.8    MM   9.4   MM -1.0    MM
2017 12 10 18 50  MM   MM   MM    MM    MM    MM  MM 1023.9  15.7    MM   9.7   MM -1.6    MM
2017 12 10 17 50  MM   MM   MM    MM    MM    MM  MM 1024.3  15.7    MM  10.0   MM -1.1    MM
2017 12 10 16 50  MM   MM   MM    MM    MM    MM  MM 1025.1  15.8    MM   9.8   MM +0.0    MM
2017 12 10 15 50  MM   MM   MM    MM    MM    MM  MM 1025.5  16.1    MM   9.6   MM +1.3    MM
2017 12 10 14 50  MM   MM   MM    MM    MM    MM  MM 1025.4  16.1    MM   9.8   MM +2.3    MM
2017 12 10 13 50  MM   MM   MM    MM    MM    MM  MM 1024.9  16.4    MM  10.3   MM +2.6    MM
2017 12 10 12 50  MM   MM   MM    MM    MM    MM  MM 1024.2  16.5    MM  10.6   MM +2.4    MM
2017 12 10 11 50  MM   MM   MM    MM    MM    MM  MM 1023.1  16.8    MM  11.0   MM +1.3    MM
2017 12 10 10 50  MM   MM   MM    MM    MM    MM  MM 1022.3  17.3    MM  11.3   MM +0.8    MM
2017 12 10 09 50  MM   MM   MM    MM    MM    MM  MM 1021.8  17.7    MM  11.2   MM +0.5    MM
2017 12 10 08 50  MM   MM   MM    MM    MM    MM  MM 1021.8  18.4    MM   9.3   MM +0.5    MM
2017 12 10 07 50  MM   MM   MM    MM    MM    MM  MM 1021.5  18.5    MM   8.8   MM +0.0    MM
2017 12 10 06 50  MM   MM   MM    MM    MM    MM  MM 1021.3  18.7    MM   8.8   MM +0.0    MM
2017 12 10 05 50  MM   MM   MM    MM    MM    MM  MM 1021.3  19.1    MM  10.3   MM +0.7    MM
2017 12 10 04 50  MM   MM   MM    MM    MM    MM  MM 1021.5  19.3    MM  10.0   MM +1.8    MM
2017 12 10 03 50  MM   MM   MM    MM    MM    MM  MM 1021.2  19.8    MM  11.2   MM +2.6    MM
2017 12 10 02 50  MM   MM   MM    MM    MM    MM  MM 1020.6  20.3    MM  12.4   MM +2.7    MM
2017 12 10 01 50  MM   MM   MM    MM    MM    MM  MM 1019.7  20.5    MM  13.3   MM +2.5    MM
2017 12 10 00 50  MM   MM   MM    MM    MM    MM  MM 1018.6  20.9    MM  14.5   MM +2.2    MM
2017 12 09 23 50  MM   MM   MM    MM    MM    MM  MM 1017.9  20.7    MM  15.4   MM +2.0    MM
2017 12 09 22 50  MM   MM   MM    MM    MM    MM  MM 1017.2  19.7    MM  16.3   MM +1.5    MM
2017 12 09 21 50  MM   MM   MM    MM    MM    MM  MM 1016.4  21.2    MM  16.4   MM +0.8    MM
2017 12 09 20 50  MM   MM   MM    MM    MM    MM  MM 1015.9  21.4    MM  16.7   MM +0.4    MM
2017 12 09 19 50  MM   MM   MM    MM    MM    MM  MM 1015.7  21.5    MM  16.6   MM -0.3    MM
2017 12 09 18 50  MM   MM   MM    MM    MM    MM  MM 1015.6  21.7    MM  17.1   MM -0.7    MM
2017 12 09 17 50  MM   MM   MM    MM    MM    MM  MM 1015.5  21.6    MM  17.5   MM -0.4    MM
2017 12 09 16 50  MM   MM   MM    MM    MM    MM  MM 1016.0  21.5    MM  17.3   MM +0.9    MM
2017 12 09 15 50  MM   MM   MM    MM    MM    MM  MM 1016.3  20.9    MM  17.6   MM +3.7    MM
2017 12 09 14 50  MM   MM   MM    MM    MM    MM  MM 1015.9  21.1    MM  17.9   MM +4.8    MM
2017 12 09 13 50  MM   MM   MM    MM    MM    MM  MM 1015.1  21.1    MM  18.9   MM +4.6    MM
2017 12 09 12 50  MM   MM   MM    MM    MM    MM  MM 1012.6  26.1    MM  22.3   MM +1.2    MM
2017 12 09 11 50  MM   MM   MM    MM    MM    MM  MM 1011.1  25.5    MM  21.8   MM -0.0    MM
2017 12 09 10 50  MM   MM   MM    MM    MM    MM  MM 1010.5  25.7    MM  21.1   MM -0.6    MM
2017 12 09 09 50  MM   MM   MM    MM    MM    MM  MM 1011.4  26.3    MM  22.9   MM -0.0    MM
2017 12 09 08 50  MM   MM   MM    MM    MM    MM  MM 1011.2  26.2    MM  22.5   MM -0.9    MM
2017 12 09 07 50  MM   MM   MM    MM    MM    MM  MM 1011.1  26.3    MM  23.4   MM -1.6    MM
2017 12 09 06 50  MM   MM   MM    MM    MM    MM  MM 1011.6  26.2    MM  23.2   MM -1.0    MM
2017 12 09 05 50  MM   MM   MM    MM    MM    MM  MM 1012.1  26.3    MM  23.3   MM -0.4    MM
2017 12 09 04 50  MM   MM   MM    MM    MM    MM  MM 1012.7  26.3    MM  23.0   MM +0.0    MM
2017 12 09 03 50  MM   MM   MM    MM    MM    MM  MM 1012.6  26.5    MM  22.7   MM +0.7    MM
2017 12 09 02 50  MM   MM   MM    MM    MM    MM  MM 1012.5  26.3    MM  23.3   MM +0.7    MM
2017 12 09 01 50  MM   MM   MM    MM    MM    MM  MM 1012.6  26.3    MM  22.6   MM +1.3    MM
2017 12 09 00 50  MM   MM   MM    MM    MM    MM  MM 1011.9  26.3    MM  20.7   MM +0.4    MM
2017 12 08 23 50  MM   MM   MM    MM    MM    MM  MM 1011.8  25.9    MM  22.9   MM +0.4    MM
2017 12 08 22 50  MM   MM   MM    MM    MM    MM  MM 1011.3  25.9    MM  22.5   MM +0.4    MM
2017 12 08 21 50  MM   MM   MM    MM    MM    MM  MM 1011.5  26.1    MM  22.1   MM +0.3    MM
2017 12 08 20 50  MM   MM   MM    MM    MM    MM  MM 1011.4  26.2    MM  21.5   MM -0.8    MM
2017 12 08 19 50  MM   MM   MM    MM    MM    MM  MM 1010.9  26.1    MM  21.1   MM -2.4    MM
2017 12 08 18 50  MM   MM   MM    MM    MM    MM  MM 1011.2  26.1    MM  21.2   MM -2.8    MM
2017 12 08 17 50  MM   MM   MM    MM    MM    MM  MM 1012.2  26.1    MM  21.4   MM -2.3    MM
2017 12 08 16 50  MM   MM   MM    MM    MM    MM  MM 1013.3  26.2    MM  21.2   MM -0.8    MM
2017 12 08 15 50  MM   MM   MM    MM    MM    MM  MM 1014.0  26.1    MM  21.2   MM +0.3    MM
2017 12 08 14 50  MM   MM   MM    MM    MM    MM  MM 1014.5  26.2    MM  22.1   MM +1.2    MM
2017 12 08 13 50  MM   MM   MM    MM    MM    MM  MM 1014.1  25.8    MM  22.6   MM +1.0    MM
2017 12 08 12 50  MM   MM   MM    MM    MM    MM  MM 1013.7  25.6    MM  22.6   MM +0.6    MM
2017 12 08 11 50  MM   MM   MM    MM    MM    MM  MM 1013.3  25.6    MM  22.4   MM +0.0    MM
2017 12 08 10 50  MM   MM   MM    MM    MM    MM  MM 1013.1  25.7    MM  22.5   MM +0.0    MM
2017 12 08 09 50  MM   MM   MM    MM    MM    MM  MM 1013.1  25.7    MM  22.4   MM -0.3    MM
2017 12 08 08 50  MM   MM   MM    MM    MM    MM  MM 1013.1  25.6    MM  22.4   MM -1.0    MM
2017 12 08 07 50  MM   MM   MM    MM    MM    MM  MM 1013.2  25.6    MM  22.3   MM -1.7    MM
2017 12 08 06 50  MM   MM   MM    MM    MM    MM  MM 1013.4  25.6    MM  22.5   MM -1.8    MM
2017 12 08 05 50  MM   MM   MM    MM    MM    MM  MM 1014.1  25.4    MM  22.3   MM -1.0    MM
2017 12 08 04 50  MM   MM   MM    MM    MM    MM  MM 1014.9  25.4    MM  22.3   MM +0.0    MM
2017 12 08 03 50  MM   MM   MM    MM    MM    MM  MM 1015.2  25.3    MM  22.2   MM +0.5    MM
2017 12 08 02 50  MM   MM   MM    MM    MM    MM  MM 1015.1  25.2    MM  22.3   MM +1.0    MM
2017 12 08 01 50  MM   MM   MM    MM    MM    MM  MM 1014.9  25.3    MM  22.3   MM +1.0    MM
2017 12 08 00 50  MM   MM   MM    MM    MM    MM  MM 1014.7  25.3    MM  22.1   MM +0.9    MM
2017 12 07 23 50  MM   MM   MM    MM    MM    MM  MM 1014.1  25.4    MM  22.0   MM +0.3    MM
2017 12 07 22 50  MM   MM   MM    MM    MM    MM  MM 1013.9  25.4    MM  22.1   MM +0.0    MM
2017 12 07 21 50  MM   MM   MM    MM    MM    MM  MM 1013.8  25.7    MM  21.9   MM -0.8    MM
2017 12 07 20 50  MM   MM   MM    MM    MM    MM  MM 1013.8  25.9    MM  22.0   MM -1.7    MM
2017 12 07 19 50  MM   MM   MM    MM    MM    MM  MM 1014.0  26.0    MM  22.3   MM -2.2    MM
2017 12 07 18 50  MM   MM   MM    MM    MM    MM  MM 1014.6  25.8    MM  21.8   MM -2.2    MM
2017 12 07 17 50  MM   MM   MM    MM    MM    MM  MM 1015.5  25.9    MM  22.2   MM -1.7    MM
2017 12 07 17 09  MM   MM   MM    MM    MM    MM  MM 1011.8  25.7    MM  22.0   MM   MM    MM
2017 12 07 17 04  MM   MM   MM    MM    MM    MM  MM 1016.0  25.8    MM  22.1   MM   MM    MM
2017 12 07 16 59  MM   MM   MM    MM    MM    MM  MM 1016.2  25.9    MM  22.3   MM   MM    MM
2017 12 07 16 54  MM   MM   MM    MM    MM    MM  MM 1016.2  25.8    MM  22.1   MM   MM    MM
2017 12 07 16 49  MM   MM   MM    MM    MM    MM  MM 1016.2  25.8    MM  22.1   MM -0.7    MM
2017 12 07 15 50  MM   MM   MM    MM    MM    MM  MM 1016.8  25.7    MM  22.1   MM +0.3    MM
2017 12 07 14 50  MM   MM   MM    MM    MM    MM  MM 1017.2  25.5    MM  21.8   MM +0.9    MM
2017 12 07 13 50  MM   MM   MM    MM    MM    MM  MM 1016.9  24.7    MM  22.7   MM +0.8    MM
2017 12 07 12 50  MM   MM   MM    MM    MM    MM  MM 1016.5  24.5    MM  22.5   MM +0.5    MM
2017 12 07 11 50  MM   MM   MM    MM    MM    MM  MM 1016.3  24.5    MM  22.5   MM +0.3    MM
2017 12 07 10 50  MM   MM   MM    MM    MM    MM  MM 1016.1  24.9    MM  22.5   MM -0.3    MM
2017 12 07 09 50  MM   MM   MM    MM    MM    MM  MM 1016.0  25.4    MM  21.7   MM -0.9    MM
2017 12 07 08 50  MM   MM   MM    MM    MM    MM  MM 1016.0  25.4    MM  22.1   MM -1.2    MM
2017 12 07 07 50  MM   MM   MM    MM    MM    MM  MM 1016.4  24.8    MM  22.4   MM -1.5    MM
2017 12 07 06 50  MM   MM   MM    MM    MM    MM  MM 1016.9  25.2    MM  22.5   MM -1.6    MM
2017 12 07 05 50  MM   MM   MM    MM    MM    MM  MM 1017.2  25.3    MM  21.8   MM -1.2    MM
2017 12 07 04 50  MM   MM   MM    MM    MM    MM  MM 1017.9  25.4    MM  21.8   MM -0.4    MM
2017 12 07 03 50  MM   MM   MM    MM    MM    MM  MM 1018.5  25.4    MM  21.4   MM +0.4    MM
2017 12 07 02 50  MM   MM   MM    MM    MM    MM  MM 1018.4  25.4    MM  21.3   MM +0.6    MM
2017 12 07 01 50  MM   MM   MM    MM    MM    MM  MM 1018.3  25.4    MM  21.1   MM +0.7    MM
2017 12 07 00 50  MM   MM   MM    MM    MM    MM  MM 1018.1  25.4    MM  20.9   MM +0.7    MM
2017 12 06 23 50  MM   MM   MM    MM    MM    MM  MM 1017.8  25.4    MM  21.2   MM +0.5    MM
2017 12 06 22 50  MM   MM   MM    MM    MM    MM  MM 1017.6  25.5    MM  20.9   MM +0.0    MM
2017 12 06 21 50  MM   MM   MM    MM    MM    MM  MM 1017.4  25.5    MM  20.8   MM -0.5    MM
2017 12 06 20 50  MM   MM   MM    MM    MM    MM  MM 1017.3  25.5    MM  20.4   MM -1.0    MM
2017 12 06 19 50  MM   MM   MM    MM    MM    MM  MM 1017.4  25.5    MM  20.6   MM -2.0    MM
2017 12 06 18 50  MM   MM   MM    MM    MM    MM  MM 1017.9  25.7    MM  20.2   MM -2.1    MM
2017 12 06 17 50  MM   MM   MM    MM    MM    MM  MM 1018.3  25.6    MM  20.5   MM -2.0    MM
2017 12 06 16 50  MM   MM   MM    MM    MM    MM  MM 1019.4  25.7    MM  20.7   MM -0.8    MM
2017 12 06 15 50  MM   MM   MM    MM    MM    MM  MM 1020.0  25.7    MM  20.4   MM +0.5    MM
2017 12 06 14 50  MM   MM   MM    MM    MM    MM  MM 1020.3  25.7    MM  20.4   MM +1.3    MM
2017 12 06 13 50  MM   MM   MM    MM    MM    MM  MM 1020.2  25.6    MM  20.3   MM +1.5    MM
2017 12 06 12 50  MM   MM   MM    MM    MM    MM  MM 1019.5  25.5    MM  20.3   MM +1.1    MM
2017 12 06 11 50  MM   MM   MM    MM    MM    MM  MM 1019.0  24.4    MM  21.0   MM +0.6    MM
2017 12 06 10 50  MM   MM   MM    MM    MM    MM  MM 1018.7  25.3    MM  20.1   MM -0.0    MM
2017 12 06 09 50  MM   MM   MM    MM    MM    MM  MM 1018.4  25.4    MM  19.8   MM -0.7    MM
2017 12 06 08 50  MM   MM   MM    MM    MM    MM  MM 1018.4  25.3    MM  19.9   MM -1.0    MM
2017 12 06 07 50  MM   MM   MM    MM    MM    MM  MM 1018.7  25.5    MM  19.6   MM -1.3    MM
2017 12 06 06 50  MM   MM   MM    MM    MM    MM  MM 1019.1  25.6    MM  19.9   MM -1.3    MM
2017 12 06 05 50  MM   MM   MM    MM    MM    MM  MM 1019.4  25.7    MM  20.0   MM -1.2    MM
2017 12 06 04 50  MM   MM   MM    MM    MM    MM  MM 1020.0  25.7    MM  20.0   MM -0.5    MM
2017 12 06 03 50  MM   MM   MM    MM    MM    MM  MM 1020.4  25.7    MM  20.0   MM +0.0    MM
2017 12 06 02 50  MM   MM   MM    MM    MM    MM  MM 1020.6  25.5    MM  20.1   MM +0.9    MM
2017 12 06 01 50  MM   MM   MM    MM    MM    MM  MM 1020.5  25.5    MM  20.0   MM +1.1    MM
2017 12 06 00 50  MM   MM   MM    MM    MM    MM  MM 1020.2  25.4    MM  19.8   MM +0.9    MM
2017 12 05 23 50  MM   MM   MM    MM    MM    MM  MM 1019.7  25.5    MM  19.8   MM +0.5    MM
2017 12 05 22 50  MM   MM   MM    MM    MM    MM  MM 1019.4  25.5    MM  19.9   MM +0.0    MM
2017 12 05 21 50  MM   MM   MM    MM    MM    MM  MM 1019.3  25.6    MM  19.8   MM +0.0    MM
2017 12 05 20 50  MM   MM   MM    MM    MM    MM  MM 1019.2  25.6    MM  19.4   MM -1.0    MM
2017 12 05 19 50  MM   MM   MM    MM    MM    MM  MM 1019.3  25.5    MM  19.4   MM -1.7    MM
2017 12 05 18 50  MM   MM   MM    MM    MM    MM  MM 1019.5  25.5    MM  19.7   MM -2.3    MM
2017 12 05 17 50  MM   MM   MM    MM    MM    MM  MM 1020.2  25.5    MM  19.6   MM -1.7    MM
2017 12 05 16 50  MM   MM   MM    MM    MM    MM  MM 1021.0  25.6    MM  19.6   MM -0.8    MM
2017 12 05 15 50  MM   MM   MM    MM    MM    MM  MM 1021.8  25.6    MM  19.7   MM +0.4    MM
2017 12 05 14 50  MM   MM   MM    MM    MM    MM  MM 1021.9  25.6    MM  19.5   MM +1.2    MM
2017 12 05 13 50  MM   MM   MM    MM    MM    MM  MM 1021.8  25.5    MM  19.2   MM +1.8    MM
2017 12 05 12 50  MM   MM   MM    MM    MM    MM  MM 1021.4  25.2    MM  19.6   MM +1.8    MM
2017 12 05 11 50  MM   MM   MM    MM    MM    MM  MM 1020.7  25.2    MM  19.2   MM +1.4    MM
2017 12 05 10 50  MM   MM   MM    MM    MM    MM  MM 1020.0  25.2    MM  19.0   MM +0.5    MM
2017 12 05 09 50  MM   MM   MM    MM    MM    MM  MM 1019.6  25.1    MM  18.5   MM -0.0    MM
2017 12 05 08 50  MM   MM   MM    MM    MM    MM  MM 1019.3  25.1    MM  18.1   MM -0.5    MM
2017 12 05 07 50  MM   MM   MM    MM    MM    MM  MM 1019.5  25.2    MM  18.6   MM -0.9    MM
2017 12 05 06 50  MM   MM   MM    MM    MM    MM  MM 1019.6  25.1    MM  18.3   MM -1.3    MM
2017 12 05 05 50  MM   MM   MM    MM    MM    MM  MM 1019.8  24.2    MM  19.6   MM -1.1    MM
2017 12 05 04 50  MM   MM   MM    MM    MM    MM  MM 1020.4  24.2    MM  19.8   MM -0.4    MM
2017 12 05 03 50  MM   MM   MM    MM    MM    MM  MM 1020.9  24.2    MM  19.7   MM +0.7    MM
2017 12 05 02 50  MM   MM   MM    MM    MM    MM  MM 1020.9  24.2    MM  19.5   MM +1.4    MM
2017 12 05 01 50  MM   MM   MM    MM    MM    MM  MM 1020.8  24.5    MM  19.0   MM +1.9    MM
2017 12 05 00 50  MM   MM   MM    MM    MM    MM  MM 1020.2  25.1    MM  17.5   MM +1.5    MM
2017 12 04 23 50  MM   MM   MM    MM    MM    MM  MM 1019.5  25.1    MM  17.7   MM +0.8    MM
2017 12 04 22 50  MM   MM   MM    MM    MM    MM  MM 1018.9  25.1    MM  18.2   MM -0.0    MM
2017 12 04 21 50  MM   MM   MM    MM    MM    MM  MM 1018.7  25.1    MM  18.2   MM -0.7    MM
2017 12 04 20 50  MM   MM   MM    MM    MM    MM  MM 1018.7  25.1    MM  18.1   MM -1.2    MM
2017 12 04 19 50  MM   MM   MM    MM    MM    MM  MM 1019.1  25.1    MM  17.8   MM -1.6    MM
2017 12 04 18 50  MM   MM   MM    MM    MM    MM  MM 1019.4  25.1    MM  17.6   MM -1.8    MM
2017 12 04 17 50  MM   MM   MM    MM    MM    MM  MM 1019.9  24.4    MM  19.3   MM -1.3    MM
2017 12 04 16 50  MM   MM   MM    MM    MM    MM  MM 1020.7  24.3    MM  18.9   MM +0.0    MM
2017 12 04 15 50  MM   MM   MM    MM    MM    MM  MM 1021.2  24.2    MM  18.6   MM +1.2    MM
2017 12 04 14 50  MM   MM   MM    MM    MM    MM  MM 1021.2  23.9    MM  18.6   MM +1.9    MM
2017 12 04 13 50  MM   MM   MM    MM    MM    MM  MM 1020.8  23.5    MM  18.8   MM +2.0    MM
2017 12 04 12 50  MM   MM   MM    MM    MM    MM  MM 1020.0  23.5    MM  18.6   MM +1.6    MM
2017 12 04 11 50  MM   MM   MM    MM    MM    MM  MM 1019.3  23.3    MM  18.4   MM +0.9    MM
2017 12 04 10 50  MM   MM   MM    MM    MM    MM  MM 1018.8  23.5    MM  18.2   MM +0.3    MM
2017 12 04 09 50  MM   MM   MM    MM    MM    MM  MM 1018.4  23.5    MM  17.9   MM +0.0    MM
2017 12 04 08 50  MM   MM   MM    MM    MM    MM  MM 1018.4  23.7    MM  17.7   MM -1.0    MM
2017 12 04 07 50  MM   MM   MM    MM    MM    MM  MM 1018.5  23.6    MM  18.0   MM -1.1    MM
2017 12 04 06 50  MM   MM   MM    MM    MM    MM  MM 1018.6  23.5    MM  18.5   MM -1.1    MM
2017 12 04 05 50  MM   MM   MM    MM    MM    MM  MM 1019.4  23.7    MM  18.8   MM +0.0    MM
2017 12 04 04 50  MM   MM   MM    MM    MM    MM  MM 1019.6  24.0    MM  18.8   MM +0.7    MM
2017 12 04 03 50  MM   MM   MM    MM    MM    MM  MM 1019.7  24.2    MM  18.5   MM +1.2    MM
2017 12 04 02 50  MM   MM   MM    MM    MM    MM  MM 1019.5  24.3    MM  18.5   MM +1.2    MM
2017 12 04 01 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.2    MM  18.3   MM +1.1    MM
2017 12 04 00 50  MM   MM   MM    MM    MM    MM  MM 1018.5  24.4    MM  17.9   MM +0.8    MM
2017 12 03 23 50  MM   MM   MM    MM    MM    MM  MM 1018.3  24.0    MM  19.2   MM +0.6    MM
2017 12 03 22 50  MM   MM   MM    MM    MM    MM  MM 1017.8  24.1    MM  18.9   MM +0.0    MM
2017 12 03 21 50  MM   MM   MM    MM    MM    MM  MM 1017.7  24.7    MM  17.8   MM -0.5    MM
2017 12 03 20 50  MM   MM   MM    MM    MM    MM  MM 1017.7  24.6    MM  17.3   MM -1.2    MM
2017 12 03 19 50  MM   MM   MM    MM    MM    MM  MM 1017.8  24.5    MM  18.3   MM -1.8    MM
2017 12 03 18 50  MM   MM   MM    MM    MM    MM  MM 1018.2  24.4    MM  18.0   MM -2.0    MM
2017 12 03 17 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.4    MM  18.4   MM -1.6    MM
2017 12 03 16 50  MM   MM   MM    MM    MM    MM  MM 1019.6  24.2    MM  18.2   MM -0.6    MM
2017 12 03 15 50  MM   MM   MM    MM    MM    MM  MM 1020.2  23.9    MM  18.5   MM +0.5    MM
2017 12 03 14 50  MM   MM   MM    MM    MM    MM  MM 1020.5  24.0    MM  17.9   MM +1.2    MM
2017 12 03 13 50  MM   MM   MM    MM    MM    MM  MM 1020.2  23.8    MM  18.0   MM +1.5    MM
2017 12 03 12 50  MM   MM   MM    MM    MM    MM  MM 1019.7  23.5    MM  18.1   MM +1.4    MM
2017 12 03 11 50  MM   MM   MM    MM    MM    MM  MM 1019.3  23.5    MM  18.1   MM +0.7    MM
2017 12 03 10 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.5    MM  18.1   MM -0.0    MM
2017 12 03 09 50  MM   MM   MM    MM    MM    MM  MM 1018.3  23.6    MM  17.7   MM -0.8    MM
2017 12 03 08 14  MM   MM   MM    MM    MM    MM  MM 1018.6  23.5    MM  17.7   MM -0.9    MM
2017 12 03 08 09  MM   MM   MM    MM    MM    MM  MM 1018.6  23.6    MM  18.0   MM   MM    MM
2017 12 03 08 04  MM   MM   MM    MM    MM    MM  MM 1018.6  23.6    MM  18.0   MM   MM    MM
2017 12 03 07 59  MM   MM   MM    MM    MM    MM  MM 1018.6  23.6    MM  17.8   MM   MM    MM
2017 12 03 07 54  MM   MM   MM    MM    MM    MM  MM 1018.6  23.7    MM  17.9   MM   MM    MM
2017 12 03 07 49  MM   MM   MM    MM    MM    MM  MM 1018.7  23.8    MM  17.9   MM -1.1    MM
2017 12 03 06 50  MM   MM   MM    MM    MM    MM  MM 1019.1  23.9    MM  17.5   MM -0.9    MM
2017 12 03 05 50  MM   MM   MM    MM    MM    MM  MM 1019.5  23.9    MM  17.9   MM -0.5    MM
2017 12 03 04 50  MM   MM   MM    MM    MM    MM  MM 1019.8  24.0    MM  18.3   MM +0.0    MM
2017 12 03 03 50  MM   MM   MM    MM    MM    MM  MM 1020.0  24.3    MM  18.1   MM +0.8    MM
2017 12 03 02 50  MM   MM   MM    MM    MM    MM  MM 1020.0  24.4    MM  18.6   MM +1.3    MM
2017 12 03 01 50  MM   MM   MM    MM    MM    MM  MM 1019.7  24.4    MM  18.4   MM +1.6    MM
2017 12 03 00 50  MM   MM   MM    MM    MM    MM  MM 1019.2  24.4    MM  19.3   MM +1.1    MM
2017 12 02 23 50  MM   MM   MM    MM    MM    MM  MM 1018.7  24.6    MM  19.1   MM +0.7    MM
2017 12 02 22 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.8    MM  18.3   MM +0.0    MM
2017 12 02 21 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.9    MM  18.4   MM -0.5    MM
2017 12 02 20 50  MM   MM   MM    MM    MM    MM  MM 1018.0  24.8    MM  18.3   MM -1.4    MM
2017 12 02 19 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.6    MM  18.4   MM -1.9    MM
2017 12 02 18 50  MM   MM   MM    MM    MM    MM  MM 1018.6  24.4    MM  18.7   MM -1.8    MM
