#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 19 20 50  MM   MM   MM    MM    MM    MM  MM 1020.8  23.5    MM  19.2   MM -1.9    MM
2017 12 19 19 50  MM   MM   MM    MM    MM    MM  MM 1021.1  23.7    MM  19.2   MM -2.6    MM
2017 12 19 18 50  MM   MM   MM    MM    MM    MM  MM 1021.7  23.6    MM  19.0   MM -2.7    MM
2017 12 19 17 50  MM   MM   MM    MM    MM    MM  MM 1022.7  23.6    MM  19.0   MM -1.9    MM
2017 12 19 16 50  MM   MM   MM    MM    MM    MM  MM 1023.7  23.5    MM  19.0   MM -0.5    MM
2017 12 19 15 50  MM   MM   MM    MM    MM    MM  MM 1024.4  23.3    MM  19.0   MM +0.7    MM
2017 12 19 14 50  MM   MM   MM    MM    MM    MM  MM 1024.6  23.1    MM  19.3   MM +1.3    MM
2017 12 19 13 50  MM   MM   MM    MM    MM    MM  MM 1024.2  22.7    MM  19.3   MM +1.2    MM
2017 12 19 12 50  MM   MM   MM    MM    MM    MM  MM 1023.7  22.6    MM  19.1   MM +0.9    MM
2017 12 19 11 50  MM   MM   MM    MM    MM    MM  MM 1023.3  22.5    MM  19.2   MM +0.4    MM
2017 12 19 10 50  MM   MM   MM    MM    MM    MM  MM 1023.0  22.6    MM  19.4   MM +0.0    MM
2017 12 19 09 50  MM   MM   MM    MM    MM    MM  MM 1022.8  22.6    MM  19.5   MM -0.7    MM
2017 12 19 08 50  MM   MM   MM    MM    MM    MM  MM 1022.9  22.4    MM  19.8   MM -1.1    MM
2017 12 19 07 50  MM   MM   MM    MM    MM    MM  MM 1023.1  22.5    MM  20.1   MM -1.2    MM
2017 12 19 06 50  MM   MM   MM    MM    MM    MM  MM 1023.5  22.6    MM  20.2   MM -1.1    MM
2017 12 19 05 50  MM   MM   MM    MM    MM    MM  MM 1024.0  22.9    MM  20.3   MM -0.6    MM
2017 12 19 04 50  MM   MM   MM    MM    MM    MM  MM 1024.3  23.0    MM  20.3   MM +0.0    MM
2017 12 19 03 50  MM   MM   MM    MM    MM    MM  MM 1024.6  23.1    MM  20.6   MM +1.2    MM
2017 12 19 02 50  MM   MM   MM    MM    MM    MM  MM 1024.6  23.3    MM  20.8   MM +1.8    MM
2017 12 19 01 50  MM   MM   MM    MM    MM    MM  MM 1024.3  23.9    MM  20.4   MM +2.0    MM
2017 12 19 00 50  MM   MM   MM    MM    MM    MM  MM 1023.4  24.9    MM  20.3   MM +1.3    MM
2017 12 18 23 50  MM   MM   MM    MM    MM    MM  MM 1022.8  25.0    MM  20.5   MM +0.8    MM
2017 12 18 22 50  MM   MM   MM    MM    MM    MM  MM 1022.3  23.6    MM  21.2   MM +0.0    MM
2017 12 18 21 50  MM   MM   MM    MM    MM    MM  MM 1022.1  23.5    MM  21.1   MM +0.0    MM
2017 12 18 20 50  MM   MM   MM    MM    MM    MM  MM 1022.0  23.6    MM  21.0   MM -0.7    MM
2017 12 18 19 50  MM   MM   MM    MM    MM    MM  MM 1022.1  23.6    MM  20.8   MM -1.5    MM
2017 12 18 18 50  MM   MM   MM    MM    MM    MM  MM 1022.3  23.2    MM  20.9   MM -1.6    MM
2017 12 18 17 50  MM   MM   MM    MM    MM    MM  MM 1022.7  23.5    MM  21.2   MM -1.1    MM
2017 12 18 16 50  MM   MM   MM    MM    MM    MM  MM 1023.6  23.4    MM  21.0   MM +0.0    MM
2017 12 18 15 50  MM   MM   MM    MM    MM    MM  MM 1023.9  23.8    MM  21.4   MM +0.7    MM
2017 12 18 14 50  MM   MM   MM    MM    MM    MM  MM 1023.8  23.7    MM  21.5   MM +1.0    MM
2017 12 18 13 50  MM   MM   MM    MM    MM    MM  MM 1023.4  23.1    MM  21.1   MM +0.9    MM
2017 12 18 12 50  MM   MM   MM    MM    MM    MM  MM 1023.2  22.8    MM  20.8   MM +1.1    MM
2017 12 18 11 50  MM   MM   MM    MM    MM    MM  MM 1022.8  22.8    MM  20.8   MM +0.6    MM
2017 12 18 10 50  MM   MM   MM    MM    MM    MM  MM 1022.5  22.6    MM  20.7   MM -0.0    MM
2017 12 18 09 50  MM   MM   MM    MM    MM    MM  MM 1022.1  22.6    MM  20.8   MM -0.3    MM
2017 12 18 08 50  MM   MM   MM    MM    MM    MM  MM 1022.2  23.0    MM  21.0   MM -0.5    MM
2017 12 18 07 50  MM   MM   MM    MM    MM    MM  MM 1022.3  22.7    MM  20.7   MM -0.6    MM
2017 12 18 06 50  MM   MM   MM    MM    MM    MM  MM 1022.4  22.7    MM  20.6   MM -0.8    MM
2017 12 18 05 50  MM   MM   MM    MM    MM    MM  MM 1022.7  23.0    MM  20.9   MM -0.5    MM
2017 12 18 04 50  MM   MM   MM    MM    MM    MM  MM 1022.9  23.1    MM  20.8   MM +0.0    MM
2017 12 18 03 50  MM   MM   MM    MM    MM    MM  MM 1023.2  23.2    MM  21.0   MM +0.7    MM
2017 12 18 02 50  MM   MM   MM    MM    MM    MM  MM 1023.2  23.2    MM  21.0   MM +1.2    MM
2017 12 18 01 50  MM   MM   MM    MM    MM    MM  MM 1022.8  23.3    MM  21.0   MM +1.3    MM
2017 12 18 00 50  MM   MM   MM    MM    MM    MM  MM 1022.5  23.3    MM  21.1   MM +1.4    MM
2017 12 17 23 50  MM   MM   MM    MM    MM    MM  MM 1022.0  25.0    MM  21.4   MM +1.2    MM
2017 12 17 22 50  MM   MM   MM    MM    MM    MM  MM 1021.5  25.2    MM  21.0   MM +0.8    MM
2017 12 17 21 50  MM   MM   MM    MM    MM    MM  MM 1021.1  25.3    MM  21.1   MM -0.0    MM
2017 12 17 20 50  MM   MM   MM    MM    MM    MM  MM 1020.8  25.3    MM  20.6   MM -1.3    MM
2017 12 17 19 50  MM   MM   MM    MM    MM    MM  MM 1020.7  25.2    MM  20.6   MM -2.3    MM
2017 12 17 18 50  MM   MM   MM    MM    MM    MM  MM 1021.3  25.2    MM  21.2   MM -2.1    MM
2017 12 17 17 50  MM   MM   MM    MM    MM    MM  MM 1022.1  25.2    MM  21.1   MM -1.3    MM
2017 12 17 16 50  MM   MM   MM    MM    MM    MM  MM 1023.0  24.9    MM  21.2   MM +0.0    MM
2017 12 17 15 50  MM   MM   MM    MM    MM    MM  MM 1023.4  24.9    MM  20.4   MM +0.7    MM
2017 12 17 14 50  MM   MM   MM    MM    MM    MM  MM 1023.4  22.9    MM  19.9   MM +1.0    MM
2017 12 17 13 50  MM   MM   MM    MM    MM    MM  MM 1023.1  22.0    MM  19.0   MM +1.0    MM
2017 12 17 12 50  MM   MM   MM    MM    MM    MM  MM 1022.7  21.8    MM  18.6   MM +0.9    MM
2017 12 17 11 50  MM   MM   MM    MM    MM    MM  MM 1022.4  21.7    MM  18.3   MM +0.4    MM
2017 12 17 10 50  MM   MM   MM    MM    MM    MM  MM 1022.1  21.7    MM  17.8   MM -0.0    MM
2017 12 17 09 50  MM   MM   MM    MM    MM    MM  MM 1021.8  21.8    MM  17.8   MM -0.5    MM
2017 12 17 08 50  MM   MM   MM    MM    MM    MM  MM 1022.0  21.6    MM  17.8   MM -0.6    MM
2017 12 17 07 50  MM   MM   MM    MM    MM    MM  MM 1022.2  21.6    MM  17.8   MM -0.5    MM
2017 12 17 06 50  MM   MM   MM    MM    MM    MM  MM 1022.3  21.6    MM  17.8   MM -0.8    MM
2017 12 17 05 50  MM   MM   MM    MM    MM    MM  MM 1022.6  21.9    MM  17.8   MM -0.5    MM
2017 12 17 04 50  MM   MM   MM    MM    MM    MM  MM 1022.7  22.2    MM  17.3   MM +0.0    MM
2017 12 17 03 50  MM   MM   MM    MM    MM    MM  MM 1023.1  22.4    MM  17.1   MM +1.2    MM
2017 12 17 02 50  MM   MM   MM    MM    MM    MM  MM 1023.1  22.5    MM  17.1   MM +1.4    MM
2017 12 17 01 50  MM   MM   MM    MM    MM    MM  MM 1022.6  22.6    MM  17.6   MM +1.5    MM
