#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 03 00  14  8.4  9.2 99.00 99.00 99.00 999 1019.5  15.6 999.0   5.0 99.0  2.39
2010 01 03 04 00  15 10.6 11.2 99.00 99.00 99.00 999 1019.4  15.2 999.0   3.1 99.0  2.34
2010 01 03 05 00  20  9.7 10.9 99.00 99.00 99.00 999 1019.4  14.9 999.0   3.6 99.0  1.98
2010 01 03 06 00  17 10.1 10.9 99.00 99.00 99.00 999 1018.8  14.5 999.0   2.4 99.0  1.47
2010 01 03 07 00  23  9.9 10.8 99.00 99.00 99.00 999 1018.3  13.9 999.0   3.3 99.0  0.76
2010 01 03 08 00  18 10.0 10.9 99.00 99.00 99.00 999 1017.8  13.8 999.0   3.9 99.0  0.13
2010 01 03 09 00  17 11.1 11.9 99.00 99.00 99.00 999 1017.3  13.6 999.0   1.5 99.0 -0.29
2010 01 03 10 00  13 10.1 10.8 99.00 99.00 99.00 999 1017.7  13.6 999.0   2.7 99.0 -0.32
2010 01 03 11 00  22  9.9 10.9 99.00 99.00 99.00 999 1017.6  13.1 999.0   2.7 99.0 -0.03
2010 01 03 12 00  18  9.1 10.6 99.00 99.00 99.00 999 1017.8  12.9 999.0   4.1 99.0  0.39
2010 01 03 13 00  17  9.1  9.8 99.00 99.00 99.00 999 1018.5  12.5 999.0   5.5 99.0  0.81
2010 01 03 14 00  20  9.3 10.0 99.00 99.00 99.00 999 1019.2  12.3 999.0   4.4 99.0  1.22
2010 01 03 15 00   2  9.2 11.2 99.00 99.00 99.00 999 1020.0  12.9 999.0   3.9 99.0  1.57
2010 01 03 16 00   2  8.4  9.3 99.00 99.00 99.00 999 1019.5  13.6 999.0   2.6 99.0  1.69
2010 01 03 17 00 356  7.8  8.9 99.00 99.00 99.00 999 1018.8  13.8 999.0   2.8 99.0  1.57
2010 01 03 18 00 357  8.3  9.3 99.00 99.00 99.00 999 1018.1  13.8 999.0   2.0 99.0  1.28
2010 01 03 19 00 339 10.2 11.1 99.00 99.00 99.00 999 1017.6  13.6 999.0   4.7 99.0  0.82
2010 01 03 20 00 336 10.8 11.5 99.00 99.00 99.00 999 1017.3  13.7 999.0   4.5 99.0  0.35
2010 01 03 21 00 341 11.3 12.3 99.00 99.00 99.00 999 1017.6  13.9 999.0   4.9 99.0  0.02
2010 01 03 22 00 342 10.1 11.1 99.00 99.00 99.00 999 1017.8  14.2 999.0   3.3 99.0  0.04
2010 01 03 23 00 348  9.4  9.9 99.00 99.00 99.00 999 1017.8  14.5 999.0   1.6 99.0  0.27
2010 01 04 00 00 354  7.8  8.3 99.00 99.00 99.00 999 1018.3  14.5 999.0   3.5 99.0  0.81
2010 01 04 01 00   2  7.3  7.9 99.00 99.00 99.00 999 1017.7  14.6 999.0   3.6 99.0  1.27
2010 01 04 02 00  10  5.5  6.3 99.00 99.00 99.00 999 1018.6  14.1 999.0   4.1 99.0  1.59
2010 01 04 03 00  21  4.9  5.6 99.00 99.00 99.00 999 1018.7  13.6 999.0   4.5 99.0  2.02
2010 01 04 04 00 354  5.3  7.2 99.00 99.00 99.00 999 1019.1  13.9 999.0   4.4 99.0  2.18
2010 01 04 05 00   0  7.7  8.7 99.00 99.00 99.00 999 1018.2  13.3 999.0   3.8 99.0  2.13
