YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 03 11 292  2.8  3.0 99.00 99.00 99.00 999 1018.0 999.0  24.9 999.0 99.0
97 01 03 12 292  3.3  3.6 99.00 99.00 99.00 999 1018.6 999.0  24.9 999.0 99.0
97 01 03 13 288  3.4  3.7 99.00 99.00 99.00 999 1019.3 999.0  24.7 999.0 99.0
97 01 03 14 285  2.5  2.8 99.00 99.00 99.00 999 1020.1 999.0  24.7 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17 285   .9  1.1 99.00 99.00 99.00 999 1019.8 999.0  25.0 999.0 99.0
97 01 03 18 285   .1   .3 99.00 99.00 99.00 999 1018.8 999.0  25.0 999.0 99.0
97 01 03 19 285  2.6  2.9 99.00 99.00 99.00 999 1018.2 999.0  25.1 999.0 99.0
97 01 03 20 132  3.8  4.2 99.00 99.00 99.00 999 1017.8 999.0  25.2 999.0 99.0
97 01 03 21 128  4.4  4.8 99.00 99.00 99.00 999 1017.6 999.0  25.1 999.0 99.0
97 01 03 22 132  4.9  5.5 99.00 99.00 99.00 999 1017.8 999.0  25.1 999.0 99.0
97 01 03 23 140  5.0  5.4 99.00 99.00 99.00 999 1018.0 999.0  25.2 999.0 99.0
97 01 04 00 156  5.4  5.8 99.00 99.00 99.00 999 1018.6 999.0  25.1 999.0 99.0
97 01 04 01 156  4.9  5.3 99.00 99.00 99.00 999 1019.0 999.0  25.1 999.0 99.0
97 01 04 02 151  5.4  5.9 99.00 99.00 99.00 999 1019.3 999.0  25.1 999.0 99.0
97 01 04 03 153  4.9  5.3 99.00 99.00 99.00 999 1019.5 999.0  24.9 999.0 99.0
97 01 04 04 180  4.6  4.9 99.00 99.00 99.00 999 1019.8 999.0  24.9 999.0 99.0
97 01 04 05 180  3.7  4.0 99.00 99.00 99.00 999 1019.3 999.0  24.9 999.0 99.0
97 01 04 06 179  3.0  3.2 99.00 99.00 99.00 999 1018.7 999.0  25.0 999.0 99.0
97 01 04 07 189  1.8  2.4 99.00 99.00 99.00 999 1018.3 999.0  25.0 999.0 99.0
97 01 04 08 190  1.2  1.6 99.00 99.00 99.00 999 1018.1 999.0  25.0 999.0 99.0
97 01 04 09 190   .9  1.3 99.00 99.00 99.00 999 1017.9 999.0  25.1 999.0 99.0
97 01 04 10 175  1.3  1.8 99.00 99.00 99.00 999 1018.0 999.0  25.1 999.0 99.0
97 01 04 11 137  1.4  1.6 99.00 99.00 99.00 999 1018.2 999.0  25.0 999.0 99.0
97 01 04 12 136   .3   .9 99.00 99.00 99.00 999 1019.0 999.0  25.0 999.0 99.0
97 01 04 13 136  2.2  2.7 99.00 99.00 99.00 999 1019.5 999.0  25.0 999.0 99.0
97 01 04 14 107  3.8  4.3 99.00 99.00 99.00 999 1020.0 999.0  25.0 999.0 99.0
97 01 04 15 123  4.0  4.5 99.00 99.00 99.00 999 1020.9 999.0  25.1 999.0 99.0
97 01 04 16 133  4.0  4.4 99.00 99.00 99.00 999 1021.0 999.0  25.1 999.0 99.0
97 01 04 17 125  4.7  5.3 99.00 99.00 99.00 999 1019.8 999.0  25.1 999.0 99.0
97 01 04 18 132  5.1  5.5 99.00 99.00 99.00 999 1019.0 999.0  25.1 999.0 99.0
97 01 04 19 127  5.7  6.4 99.00 99.00 99.00 999 1018.3 999.0  25.2 999.0 99.0
97 01 04 20 126  4.2  4.7 99.00 99.00 99.00 999 1018.1 999.0  25.3 999.0 99.0
97 01 04 21 134  3.7  4.0 99.00 99.00 99.00 999 1018.2 999.0  25.3 999.0 99.0
97 01 04 22 135  2.8  3.3 99.00 99.00 99.00 999 1018.6 999.0  25.3 999.0 99.0
97 01 04 23 128  4.1  4.5 99.00 99.00 99.00 999 1018.5 999.0  25.2 999.0 99.0
97 01 05 00 137  3.9  4.6 99.00 99.00 99.00 999 1018.6 999.0  25.2 999.0 99.0
97 01 05 01 136  4.5  4.9 99.00 99.00 99.00 999 1018.8 999.0  25.1 999.0 99.0
97 01 05 02 127  3.8  4.2 99.00 99.00 99.00 999 1018.9 999.0  25.1 999.0 99.0
97 01 05 03 123  5.5  6.4 99.00 99.00 99.00 999 1018.6 999.0  25.1 999.0 99.0
97 01 05 04 120  6.5  7.1 99.00 99.00 99.00 999 1018.3 999.0  25.0 999.0 99.0
97 01 05 05 132  6.7  7.5 99.00 99.00 99.00 999 1017.9 999.0  25.0 999.0 99.0
97 01 05 06 142  6.9  7.5 99.00 99.00 99.00 999 1017.4 999.0  25.0 999.0 99.0
97 01 05 07 143  6.6  7.3 99.00 99.00 99.00 999 1017.0 999.0  25.0 999.0 99.0
97 01 05 08 149  5.3  5.6 99.00 99.00 99.00 999 1016.4 999.0  25.0 999.0 99.0
97 01 05 09 143  4.9  6.5 99.00 99.00 99.00 999 1016.4 999.0  25.0 999.0 99.0
97 01 05 10 153  4.9  5.3 99.00 99.00 99.00 999 1016.6 999.0  25.0 999.0 99.0
97 01 05 11 163  6.0  6.7 99.00 99.00 99.00 999 1016.8 999.0  24.9 999.0 99.0
97 01 05 12 176  6.1  6.5 99.00 99.00 99.00 999 1017.1 999.0  24.9 999.0 99.0
97 01 05 13 183  5.6  6.3 99.00 99.00 99.00 999 1017.9 999.0  24.9 999.0 99.0
97 01 05 14 184  5.3  6.0 99.00 99.00 99.00 999 1018.4 999.0  24.9 999.0 99.0
97 01 05 15 177  6.1  6.3 99.00 99.00 99.00 999 1018.7 999.0  24.9 999.0 99.0
97 01 05 16 171  7.1  7.6 99.00 99.00 99.00 999 1018.5 999.0  25.0 999.0 99.0
97 01 05 17 167  5.9  6.2 99.00 99.00 99.00 999 1017.8 999.0  25.0 999.0 99.0
97 01 05 18 171  7.6  7.8 99.00 99.00 99.00 999 1016.9 999.0  25.1 999.0 99.0
97 01 05 19 173  7.0  7.3 99.00 99.00 99.00 999 1015.9 999.0  25.1 999.0 99.0
97 01 05 20 174  6.8  7.3 99.00 99.00 99.00 999 1015.9 999.0  25.1 999.0 99.0
97 01 05 21 173  6.7  7.2 99.00 99.00 99.00 999 1015.2 999.0  25.0 999.0 99.0
97 01 05 22 175  6.9  7.4 99.00 99.00 99.00 999 1015.6 999.0  25.0 999.0 99.0
97 01 05 23 171  6.1  6.7 99.00 99.00 99.00 999 1015.8 999.0  25.0 999.0 99.0
97 01 06 00 171  4.4  4.6 99.00 99.00 99.00 999 1016.4 999.0  25.0 999.0 99.0
97 01 06 01 190  4.6  5.1 99.00 99.00 99.00 999 1017.4 999.0  24.9 999.0 99.0
97 01 06 02 186  5.0  5.3 99.00 99.00 99.00 999 1017.5 999.0  24.9 999.0 99.0
97 01 06 03 179  4.5  4.7 99.00 99.00 99.00 999 1017.7 999.0  24.9 999.0 99.0
97 01 06 04 189  4.1  4.4 99.00 99.00 99.00 999 1018.0 999.0  24.9 999.0 99.0
97 01 06 05 193  1.8  2.2 99.00 99.00 99.00 999 1017.7 999.0  24.9 999.0 99.0
97 01 06 06 193   .3   .6 99.00 99.00 99.00 999 1017.2 999.0  25.0 999.0 99.0
97 01 06 07 194  1.2  1.5 99.00 99.00 99.00 999 1016.9 999.0  25.0 999.0 99.0
97 01 06 08 194   .8  1.1 99.00 99.00 99.00 999 1016.5 999.0  25.0 999.0 99.0
97 01 06 09 155  5.3  5.8 99.00 99.00 99.00 999 1016.2 999.0  24.9 999.0 99.0
97 01 06 10 150  4.9  5.5 99.00 99.00 99.00 999 1016.4 999.0  24.9 999.0 99.0
97 01 06 11 155  4.4  5.2 99.00 99.00 99.00 999 1017.0 999.0  25.0 999.0 99.0
97 01 06 12 167  4.2  4.7 99.00 99.00 99.00 999 1017.7 999.0  24.9 999.0 99.0
97 01 06 13 162  4.4  4.9 99.00 99.00 99.00 999 1018.1 999.0  24.9 999.0 99.0
97 01 06 14 161  3.5  3.8 99.00 99.00 99.00 999 1018.8 999.0  24.9 999.0 99.0
97 01 06 15 148  4.5  4.8 99.00 99.00 99.00 999 1019.3 999.0  25.0 999.0 99.0
97 01 06 16 151  2.9  3.1 99.00 99.00 99.00 999 1019.3 999.0  25.0 999.0 99.0
97 01 06 17 153  3.4  3.9 99.00 99.00 99.00 999 1019.0 999.0  25.2 999.0 99.0
97 01 06 18 142  3.3  3.7 99.00 99.00 99.00 999 1017.7 999.0  25.3 999.0 99.0
97 01 06 19 141  4.0  4.3 99.00 99.00 99.00 999 1016.8 999.0  25.1 999.0 99.0
97 01 06 20 139  3.2  3.7 99.00 99.00 99.00 999 1016.7 999.0  25.3 999.0 99.0
97 01 06 21 129  3.4  3.9 99.00 99.00 99.00 999 1016.7 999.0  25.2 999.0 99.0
97 01 06 22 124  4.1  4.9 99.00 99.00 99.00 999 1017.1 999.0  25.2 999.0 99.0
97 01 06 23 122  4.2  4.6 99.00 99.00 99.00 999 1017.3 999.0  25.3 999.0 99.0
97 01 07 00 117  3.9  4.5 99.00 99.00 99.00 999 1017.7 999.0  25.1 999.0 99.0
97 01 07 01 115  4.6  5.1 99.00 99.00 99.00 999 1018.0 999.0  25.0 999.0 99.0
97 01 07 02 115  4.7  5.3 99.00 99.00 99.00 999 1018.4 999.0  24.9 999.0 99.0
97 01 07 03 113  3.8  4.4 99.00 99.00 99.00 999 1018.7 999.0  24.9 999.0 99.0
97 01 07 04 113  5.1  5.6 99.00 99.00 99.00 999 1018.6 999.0  24.9 999.0 99.0
97 01 07 05 118  6.2  7.1 99.00 99.00 99.00 999 1018.0 999.0  24.8 999.0 99.0
97 01 07 06 124  6.1  6.5 99.00 99.00 99.00 999 1017.8 999.0  24.7 999.0 99.0
97 01 07 07 133  5.8  6.5 99.00 99.00 99.00 999 1017.4 999.0  24.7 999.0 99.0
97 01 07 08 137  5.4  6.0 99.00 99.00 99.00 999 1017.1 999.0  24.7 999.0 99.0
97 01 07 09 134  4.3  4.8 99.00 99.00 99.00 999 1017.2 999.0  24.5 999.0 99.0
97 01 07 10 153  5.1  5.6 99.00 99.00 99.00 999 1017.1 999.0  25.1 999.0 99.0
97 01 07 11 170  4.5  4.8 99.00 99.00 99.00 999 1017.2 999.0  25.2 999.0 99.0
97 01 07 12 163  4.4  4.7 99.00 99.00 99.00 999 1017.6 999.0  25.2 999.0 99.0
97 01 07 13 173  5.8  6.4 99.00 99.00 99.00 999 1017.9 999.0  25.2 999.0 99.0
97 01 07 14 169  4.9  5.4 99.00 99.00 99.00 999 1018.1 999.0  25.2 999.0 99.0
