#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2017 01 03 02 50 127  7.5  8.5 99.00 99.00 99.00 999 1019.3  25.3 999.0  22.0 99.0 99.00
2017 01 03 03 50 142  8.4  9.6 99.00 99.00 99.00 999 1019.3  25.5 999.0  22.0 99.0 99.00
2017 01 03 04 50 142  8.6  9.8 99.00 99.00 99.00 999 1018.3  25.5 999.0  22.1 99.0 99.00
2017 01 03 05 50 126  6.0  6.7 99.00 99.00 99.00 999 1019.1  25.4 999.0  22.3 99.0 99.00
2017 01 03 06 50 138  7.5  8.3 99.00 99.00 99.00 999 1018.0  25.3 999.0  22.5 99.0 99.00
2017 01 03 07 50 157  8.2  9.3 99.00 99.00 99.00 999 1016.7  25.4 999.0  22.5 99.0 99.00
2017 01 03 08 50 147  7.3  8.2 99.00 99.00 99.00 999 1016.1  25.5 999.0  22.5 99.0 99.00
2017 01 03 09 50 160  8.7  9.9 99.00 99.00 99.00 999 1015.8  25.5 999.0  22.2 99.0 99.00
2017 01 03 10 50 184  6.1  6.8 99.00 99.00 99.00 999 1016.7  25.5 999.0  22.6 99.0 99.00
2017 01 03 11 50 202  6.0  7.0 99.00 99.00 99.00 999 1017.1  25.3 999.0  22.5 99.0 99.00
2017 01 03 12 50 218  3.9  6.1 99.00 99.00 99.00 999 1017.7  25.2 999.0  22.4 99.0 99.00
2017 01 03 13 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.9  25.2 999.0  22.3 99.0 99.00
2017 01 03 14 50 214  3.3  6.5 99.00 99.00 99.00 999 1018.7  25.4 999.0  22.3 99.0 99.00
2017 01 03 15 50 137  5.1  5.9 99.00 99.00 99.00 999 1018.3  25.4 999.0  22.4 99.0 99.00
2017 01 03 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.4  25.3 999.0  22.5 99.0 99.00
2017 01 03 17 50 207  1.7  2.3 99.00 99.00 99.00 999 1016.7  25.4 999.0  22.6 99.0 99.00
2017 01 03 18 50 195  1.7  3.5 99.00 99.00 99.00 999 1016.1  25.4 999.0  22.5 99.0 99.00
2017 01 03 19 50 252  1.3  2.7 99.00 99.00 99.00 999 1015.7  25.4 999.0  22.4 99.0 99.00
2017 01 03 20 50 235  1.6  1.9 99.00 99.00 99.00 999 1015.8  25.6 999.0  22.4 99.0 99.00
2017 01 03 21 50 329  1.1  1.3 99.00 99.00 99.00 999 1015.9  25.4 999.0  22.5 99.0 99.00
2017 01 03 22 50  78  0.7  0.9 99.00 99.00 99.00 999 1016.1  25.0 999.0  22.4 99.0 99.00
2017 01 03 23 50 284  0.4  0.7 99.00 99.00 99.00 999 1016.5  24.8 999.0  22.4 99.0 99.00
2017 01 04 00 50 139  0.6  0.7 99.00 99.00 99.00 999 1016.2  24.7 999.0  22.4 99.0 99.00
2017 01 04 01 50 115  0.5  0.7 99.00 99.00 99.00 999 1016.4  24.5 999.0  22.4 99.0 99.00
2017 01 04 02 50 135  2.0  2.2 99.00 99.00 99.00 999 1016.0  24.6 999.0  22.6 99.0 99.00
2017 01 04 03 50 167  1.6  1.8 99.00 99.00 99.00 999 1015.9  24.5 999.0  22.7 99.0 99.00
2017 01 04 04 50 173  1.9  2.1 99.00 99.00 99.00 999 1015.6  24.4 999.0  22.7 99.0 99.00
2017 01 04 05 50 170  3.2  3.6 99.00 99.00 99.00 999 1015.0  24.4 999.0  22.6 99.0 99.00
2017 01 04 06 50 194  2.8  3.2 99.00 99.00 99.00 999 1014.8  24.6 999.0  22.7 99.0 99.00
2017 01 04 07 50 191  3.7  4.2 99.00 99.00 99.00 999 1014.1  24.6 999.0  22.8 99.0 99.00
2017 01 04 08 50 214  3.0  3.3 99.00 99.00 99.00 999 1013.8  24.7 999.0  23.0 99.0 99.00
2017 01 04 09 50 225  2.6  2.9 99.00 99.00 99.00 999 1013.9  24.8 999.0  23.1 99.0 99.00
2017 01 04 10 50 238  2.7  3.2 99.00 99.00 99.00 999 1014.0  24.7 999.0  23.1 99.0 99.00
2017 01 04 11 50 234  2.0  2.3 99.00 99.00 99.00 999 1014.2  24.6 999.0  23.0 99.0 99.00
