YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 10 316 13.5 14.4 99.00 99.00 99.00 999 1016.0  20.8  25.0  18.6 99.0
1999 01 03 11 359  5.8  6.5 99.00 99.00 99.00 999 1016.2  20.3  24.9  18.8 99.0
1999 01 03 12  60  3.1  3.4 99.00 99.00 99.00 999 1016.3  21.3  24.9  19.3 99.0
1999 01 03 13 117  2.9  3.3 99.00 99.00 99.00 999 1017.3  21.9  24.9  18.8 99.0
1999 01 03 14 184  2.3  2.7 99.00 99.00 99.00 999 1018.1  22.8  24.8  18.3 99.0
1999 01 03 15 209  3.6  4.0 99.00 99.00 99.00 999 1018.4  23.5  24.9  18.5 99.0
1999 01 03 16 216  3.7  4.2 99.00 99.00 99.00 999 1018.4  24.1  25.0  18.5 99.0
1999 01 03 17 230  1.9  2.2 99.00 99.00 99.00 999 1018.0  24.3  25.1  18.6 99.0
1999 01 03 18 194   .7  1.4 99.00 99.00 99.00 999 1017.0  24.9  25.2  19.2 99.0
1999 01 03 19 298  4.1  4.4 99.00 99.00 99.00 999 1016.7  24.2  25.2  19.4 99.0
1999 01 03 20 336  2.1  2.4 99.00 99.00 99.00 999 1016.3  24.0  25.3  19.1 99.0
1999 01 03 21   0   .0   .0 99.00 99.00 99.00 999 1016.5  24.3  25.4  18.2 99.0
1999 01 03 22 201   .9  1.2 99.00 99.00 99.00 999 1017.3  25.1  25.6  20.0 99.0
1999 01 03 23 272  2.1  2.5 99.00 99.00 99.00 999 1017.6  24.0  25.5  19.9 99.0
1999 01 04 00   3  2.8  3.1 99.00 99.00 99.00 999 1018.3  23.4  25.3  20.4 99.0
1999 01 04 01   6  2.5  2.7 99.00 99.00 99.00 999 1018.9  23.3  25.1  20.4 99.0
1999 01 04 02 356  2.3  2.6 99.00 99.00 99.00 999 1019.3  23.2  25.1  20.1 99.0
1999 01 04 03 359  3.1  3.4 99.00 99.00 99.00 999 1019.4  23.2  25.1  19.7 99.0
1999 01 04 04  49  2.4  2.6 99.00 99.00 99.00 999 1019.4  23.4  25.2  19.0 99.0
1999 01 04 05 359  2.3  2.5 99.00 99.00 99.00 999 1019.2  23.2  25.2  19.5 99.0
1999 01 04 06 346  5.7  6.2 99.00 99.00 99.00 999 1019.1  22.1  25.2  19.7 99.0
1999 01 04 07 349  8.1  8.6 99.00 99.00 99.00 999 1019.1  22.0  25.2  19.6 99.0
1999 01 04 08 359  7.9  8.5 99.00 99.00 99.00 999 1019.0  21.4  25.0  19.4 99.0
1999 01 04 09   0  9.1  9.6 99.00 99.00 99.00 999 1019.2  20.8  24.7  18.9 99.0
