YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00  77  7.0  7.9 99.00 99.00 99.00 999 1019.5  24.7  25.2 999.0 99.0
97 01 01 01  70  6.5  6.9 99.00 99.00 99.00 999 1019.9  24.6  25.2 999.0 99.0
97 01 01 02  65  5.8  6.5 99.00 99.00 99.00 999 1019.9  24.0  25.2 999.0 99.0
97 01 01 03  38  4.6  5.1 99.00 99.00 99.00 999 1020.1  23.4  25.1 999.0 99.0
97 01 01 04  59  6.5  6.8 99.00 99.00 99.00 999 1020.0  23.9  25.1 999.0 99.0
97 01 01 05  53  3.8  4.3 99.00 99.00 99.00 999 1019.9  24.5  25.1 999.0 99.0
97 01 01 06  45  5.1  5.6 99.00 99.00 99.00 999 1019.6  23.9  25.2 999.0 99.0
97 01 01 07  65  4.4  5.3 99.00 99.00 99.00 999 1019.2  23.5  25.1 999.0 99.0
97 01 01 08  47  4.6  5.2 99.00 99.00 99.00 999 1018.7  23.2  25.1 999.0 99.0
97 01 01 09 359  5.8  6.4 99.00 99.00 99.00 999 1018.4  22.6  25.1 999.0 99.0
97 01 01 10 110  1.2  2.2 99.00 99.00 99.00 999 1018.4  23.1  25.0 999.0 99.0
97 01 01 11  93  8.7  9.1 99.00 99.00 99.00 999 1018.6  24.2  25.0 999.0 99.0
97 01 01 12  98  7.7  8.3 99.00 99.00 99.00 999 1018.9  24.3  25.0 999.0 99.0
97 01 01 13 104  6.5  6.8 99.00 99.00 99.00 999 1019.6  24.3  24.9 999.0 99.0
97 01 01 14 104  6.9  7.4 99.00 99.00 99.00 999 1019.8  24.5  24.9 999.0 99.0
97 01 01 15  95  6.8  7.3 99.00 99.00 99.00 999 1020.1  24.7  24.9 999.0 99.0
97 01 01 16  94  5.6  6.1 99.00 99.00 99.00 999 1019.9  25.0  25.1 999.0 99.0
97 01 01 17  99  5.8  6.4 99.00 99.00 99.00 999 1019.0  25.0  25.3 999.0 99.0
97 01 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 19 103  5.8  6.5 99.00 99.00 99.00 999 1017.4  25.5  25.4 999.0 99.0
97 01 01 20 105  5.9  6.5 99.00 99.00 99.00 999 1017.0  25.6  25.5 999.0 99.0
97 01 01 21 108  4.8  5.5 99.00 99.00 99.00 999 1017.1  25.4  25.4 999.0 99.0
97 01 01 22 114  6.4  7.1 99.00 99.00 99.00 999 1016.8  25.3  25.4 999.0 99.0
97 01 01 23 109  5.6  5.9 99.00 99.00 99.00 999 1017.3  24.5  25.4 999.0 99.0
97 01 02 00 119  4.8  5.9 99.00 99.00 99.00 999 1017.9  24.4  25.2 999.0 99.0
97 01 02 01 100  4.7  5.2 99.00 99.00 99.00 999 1018.4  24.3  25.2 999.0 99.0
97 01 02 02  99  3.7  4.2 99.00 99.00 99.00 999 1018.6  24.2  25.1 999.0 99.0
97 01 02 03  99  4.2  4.6 99.00 99.00 99.00 999 1018.9  24.2  25.1 999.0 99.0
97 01 02 04 115  3.4  3.6 99.00 99.00 99.00 999 1019.1  24.1  25.1 999.0 99.0
97 01 02 05  96  2.3  2.6 99.00 99.00 99.00 999 1018.8  24.1  25.2 999.0 99.0
97 01 02 06  77  2.4  2.8 99.00 99.00 99.00 999 1018.5  24.1  25.2 999.0 99.0
97 01 02 07  88  2.6  3.2 99.00 99.00 99.00 999 1018.2  24.1  25.1 999.0 99.0
97 01 02 08 113  3.7  4.0 99.00 99.00 99.00 999 1017.7  24.0  25.1 999.0 99.0
97 01 02 09 104  2.3  2.6 99.00 99.00 99.00 999 1017.5  24.0  25.1 999.0 99.0
