#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00  88  7.3  7.6 99.00 99.00 99.00 999 1022.6  25.1  25.3 999.0 99.0 99.00
2007 01 03 04 00  99  7.2  7.7 99.00 99.00 99.00 999 1022.5  25.1  25.3 999.0 99.0 99.00
2007 01 03 05 00  94  6.9  7.2 99.00 99.00 99.00 999 1022.4  24.9  25.2 999.0 99.0 99.00
2007 01 03 06 00 103  8.4  9.4 99.00 99.00 99.00 999 1022.0  24.9  25.1 999.0 99.0 99.00
2007 01 03 07 00 102  7.6  8.1 99.00 99.00 99.00 999 1022.1  25.0  25.0 999.0 99.0 99.00
2007 01 03 08 00 102  7.0  7.4 99.00 99.00 99.00 999 1022.5  25.0  24.9 999.0 99.0 99.00
2007 01 03 09 00 101  6.2  7.0 99.00 99.00 99.00 999 1022.7  24.9  24.9 999.0 99.0 99.00
2007 01 03 10 00 103  7.4  7.9 99.00 99.00 99.00 999 1022.3  24.9  25.2 999.0 99.0 99.00
2007 01 03 11 00  99  7.5  7.9 99.00 99.00 99.00 999 1022.8  24.9  25.3 999.0 99.0 99.00
2007 01 03 12 00 110  7.6  8.1 99.00 99.00 99.00 999 1023.1  24.8  25.3 999.0 99.0 99.00
2007 01 03 13 00 109  7.5  8.4 99.00 99.00 99.00 999 1023.7  24.9  25.3 999.0 99.0 99.00
2007 01 03 14 00  98  7.2  7.6 99.00 99.00 99.00 999 1024.6  25.0  25.3 999.0 99.0 99.00
2007 01 03 15 00 109  6.4  6.8 99.00 99.00 99.00 999 1025.0  25.1  25.3 999.0 99.0 99.00
2007 01 03 16 00 104  6.2  7.1 99.00 99.00 99.00 999 1024.7  25.0  25.4 999.0 99.0 99.00
2007 01 03 17 00  98  6.3  6.6 99.00 99.00 99.00 999 1024.1  25.1  25.3 999.0 99.0 99.00
2007 01 03 18 00  89  6.8  7.3 99.00 99.00 99.00 999 1022.9  24.9  25.4 999.0 99.0 99.00
2007 01 03 19 00 114  7.6  8.1 99.00 99.00 99.00 999 1022.3  25.0  25.4 999.0 99.0 99.00
2007 01 03 20 00 105  7.6  8.1 99.00 99.00 99.00 999 1022.2  24.9  25.5 999.0 99.0 99.00
2007 01 03 21 00  93  7.9  8.5 99.00 99.00 99.00 999 1022.4  24.9  25.5 999.0 99.0 99.00
2007 01 03 22 00  88  8.0  8.4 99.00 99.00 99.00 999 1022.4  24.8  25.4 999.0 99.0 99.00
2007 01 03 23 00  83  8.1  8.5 99.00 99.00 99.00 999 1022.6  24.7  25.3 999.0 99.0 99.00
