'sea1m,'samo1-ct-shallow-seatemp,'online,'( 1 366),'DRASTIC-LOW=(22 24),'VERY-LOW=(24 26),'LOW=(26 27),'SOMEWHAT-LOW=(27 27.7),'AVERAGE=(27.7 30.5),'SOMEWHAT-HIGH=(30.5 31.5),'HIGH=(31.5 32.5),'VERY-HIGH=(32.5 33.5),'DRASTIC-HIGH=(33.5 34.5)
'mwsst,'samo1-amsre-mwsst,'online,'( 1 366),'DRASTIC-LOW=(24 26),'VERY-LOW=(26 27),'LOW=(27 27.5),'SOMEWHAT-LOW=(27.5 28),'AVERAGE=(28 29.5),'SOMEWHAT-HIGH=(29.5 30.1),'HIGH=(30.1 30.4),'VERY-HIGH=(30.4 30.7),'DRASTIC-HIGH=(30.7 32)
'sst,'samo1-misst-sst,'online,'( 1 366),'DRASTIC-LOW=(24 26),'VERY-LOW=(26 27),'LOW=(27 27.5),'SOMEWHAT-LOW=(27.5 28),'AVERAGE=(28 29.5),'SOMEWHAT-HIGH=(29.5 30.3),'HIGH=(30.3 30.8),'VERY-HIGH=(30.8 31.3),'DRASTIC-HIGH=(31.3 32)
