'sea1m,'pwst1-sea-t-shallow,'online,'( 1 366),'DRASTIC-LOW=(20 22),'VERY-LOW=(22 23),'LOW=(23 23.8),'SOMEWHAT-LOW=(23.8 24.6),'AVERAGE=(24.6 30.5),'SOMEWHAT-HIGH=(30.5 31.5),'HIGH=(31.5 32.5),'VERY-HIGH=(32.5 33),'DRASTIC-HIGH=(33 34)
'mwsst,'pwst1-amsre-mwsst,'online,'( 1 366),'DRASTIC-LOW=(22 24),'VERY-LOW=(24 24.7),'LOW=(24.7 25.6),'SOMEWHAT-LOW=(25.6 26.2),'AVERAGE=(26.2 28.8),'SOMEWHAT-HIGH=(28.8 29.2),'HIGH=(29.2 29.7),'VERY-HIGH=(29.7 30.5),'DRASTIC-HIGH=(30.5 32)
'sst,'pwst1-misst-sst,'online,'( 1 366),'DRASTIC-LOW=(22 24),'VERY-LOW=(24 24.8),'LOW=(24.8 25.6),'SOMEWHAT-LOW=(25.6 26.2),'AVERAGE=(26.2 28.6),'SOMEWHAT-HIGH=(28.6 29.2),'HIGH=(29.2 29.6),'VERY-HIGH=(29.6 30),'DRASTIC-HIGH=(30 32)
