'sst,'pcni1-misst-sst,'online,'( 1 366),'DRASTIC-LOW=(23 24.3),'VERY-LOW=(24.3 25.3),'LOW=(25.3 25.8),'SOMEWHAT-LOW=(25.8 26.3),'AVERAGE=(26.3 29.3),'SOMEWHAT-HIGH=(29.3 29.8),'HIGH=(29.8 30.3),'VERY-HIGH=(30.3 31),'DRASTIC-HIGH=(31 32)
'mwsst,'pcni1-amsre-mwsst,'online,'( 1 366),'DRASTIC-LOW=(25.7 26.3),'VERY-LOW=(26.3 26.6),'LOW=(26.6 27.1),'SOMEWHAT-LOW=(27.1 27.6),'AVERAGE=(27.6 29.5),'SOMEWHAT-HIGH=(29.5 29.8),'HIGH=(29.8 30.1),'VERY-HIGH=(30.1 30.3),'DRASTIC-HIGH=(30.3 30.8)
'windsp-sat,'pcni1-gfs-speed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir-sat,'pcni1-gfs-dir,'online,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'parsurf-sat,'pcni1-nesdis-par,'online,'( 1 366),'DRASTIC-LOW=(-0.1 100),'VERY-LOW=(100 200),'LOW=(200 500),'SOMEWHAT-LOW=(500 800),'AVERAGE=(800 1200),'SOMEWHAT-HIGH=(1200 1500),'HIGH=(1500 1800),'VERY-HIGH=(1800 2000),'DRASTIC-HIGH=(2000 2200)
